city,borough,title,foundry,fabricator,primary_architect_first,landscape_architect_last,artwork_type1,location_name,landscape_architect_middle,lot,date_created_approximation,primary_artist_first,date_dedicated,date_dedicated_approximation,secondary_artist_first,inscription,pdc_records,secondary_artist_last,material,subject_keyword,primary_architect_middle,date_created,landscape_architect_first,primary_artist_last,block,secondary_architect_last,address,secondary_architect_middle,artwork_type2,alternate_title,secondary_architect_first,latitude,state
New York,Manhattan,Jerusalem Grove Marker,,,,,Plaque,Battery Park,,1.0,N,,1976,N,,"JERUSALEM GROVE / TO THE PEOPLE OF NEW YORK CITY FROM THE PEOPLE OF JERUSALEM / TEDDY KOLLEK, MAYOR 
JERUSALEM / ABRAHAM D. BEAME, MAYOR / NEW YORK CITY / JULY 1976",1371,,Stone,"Jerusalem, grove",,1976,,,3,,State Street and Battery Place,,Marker,,,40.704226,NY
Bronx,Bronx,Rockefeller Fountain,,,,,Fountain,Bronx Zoo,,20.0,N,Biagio,1903,N,,"THIS FOUNTAIN / FROM THE CITY OF COMO, ITALY / WAS PRESENTED BY / WILLIAM ROCKEFELLER / AND BY HIM ERECTED ON ITS PRESENT SITE / 1902",24,,Bianco Pi Italian marble,Fountain,,1872,,Catella,3120,,2300 Southern Boulevard,,Artwork/Monument,Italian Fountain,,40.853830,NY
Brooklyn,Brooklyn,Call of the Sea,,,,,Sculpture,Brooklyn Botanic Garden,,1.0,N,Harriet,1936; 1998 (recast),N,,,546,,Bronze,"Children, Maritime, animals",,1924,,Fishmuth,1183,,Rose Arc Pool,,Artwork,,,40.667918,NY
Corona,Queens,Gates of Life,,,,,Ornamental gates,Flushing Meadows  Corona Park,,1.0,N,Albino,1968,N,,,2103,,Bronze,"Animals, Zoo, Gate",,1968,,Manca,2018,,Zoo Path,,Artwork/Monument,,,40.744025,NY
Long Island City,Queens,Diagonal Sonata,,,,,Bas-relief sculpture,Long Island City Library,,1.0,N,Toshio,2007,N,,,6172,,Cast concrete,"bas-relief, abstract",,2007,,Sasaki,363,,37-44 21st Street,,Artwork,Asymmetric Inversion,,40.757779,NY
New York,Manhattan,Japanese Cherry Tree Tablet,,,,,Plaque,Sakura Park,,1.0,N,,1912,N,,"SEPTEMBER 25, 1909 / TO GENERAL STEWART L. WOODFORD, / PRESIDENT, HUDSON- FULTON / CELEBRATION COMMISSION / DEAR SIR: / YOUR HONORABLE COMMISSION AND THE GOVERNMENT OF YOUR GREAT CITY HAVING GRACIOUSLY / SIGNIFIED TO THE UNDERSIGNED COMMITTEE OF JAPANESE RESIDENTS THEIR PLEASURE IN / PERMITTING US TO TAKE PART IN THE MOMENTOUS HUDSON-FULTON CELEBRATION BY ACCEPTING /OUR OFFERING OF TWENTY-ONE HUNDRED CHERRY TREES FROM JAPAN TO BE PLANTED ALONG YOUR /BEAUTIFUL AND UNIQUE RIVERSIDE DRIVE, WE BEG HEREBY TO TENDER THEM TO YOU IN THE FULLEST /AND WARMEST SPIRIT OF AFFECTION, GRATITUDE AND GOOD-WILL. / WHAT THE CHERRY TREE IS TO JAPAN WE WOULD WISH IT TO SYMBOLIZE TO YOU, THE EVER-LIVING / SPIRIT OF THE LAND BRINGING WITH EVERY SPRING A WORLD OF BLOSSOM AND JOY. ALONG THE / BANKS OF THE MIGHTY STREAM WHOSE DISCOVERER AND FIRST STREAM NAVIGATOR WE CELEBRATE / TO-DAY AND AROUND THE TOMB OF GENERAL GRANT, WHOSE MEMORY WE OF JAPAN HOLD DEAR, / MAY THE RIVER OF JAPANESE BLOOMS FLOW YEAR AFTER YEAR A FLOWERING WITNESS TO ALL TIME OF / OUR AFFECTION FOR NEW YORK AND THE UNITED STATES. / WE THANK YOU AND THE MUNICIPAL AUTHORITIES FOR THE PRECIOUS PRIVILEGE OF TAKING THIS  / HUMBLE PART IN THE GREAT AND HISTORIC CELEBRATION, AND FEELINGLY SUBSCRIBE OURSELVES. / KOKICHI MIDZUNO / JOKICHI TAKAMINE / RIOICHIRO ARAI / DAIJIRO USHIKUBO / KIKUSABURO FUKUI / COMMITTEE OF JAPANESE RESIDENTS OF NEW YORK / GIVEN TO THE CITY IN 1912",652,,Bronze,"Asian, Japanese, East Asian",,1912,,Tokyo Fine Arts School,1994,,West 122nd St and Riverside Drive,,Marker,,,40.813440,NY
Staten Island,Staten Island,Staten Island War Memorial,,,,,Bas-relief,Richmond Borough Hall,,1.0,N,Albert,1920,N,,ERECTED BY THE CITIZENS OF THE BOROUGH OF RICHMOND / 1920 / IN PROUD MEMORY OF STATEN ISLAND MEN WHO DIED IN THE / SERVICE OF OUR COUNTRY IN THE WAR WITH GERMANY 1914-1919 /,1028,,Bronze,"Allegorical, World War I, War",,1920,,Weinert,7,,10 Richmond Terrace,,Monument/Memorial,,,40.642303,NY
Bronx,Bronx,Henry Hudson Memorial,,Henry M. Schrady,,,Statue,Henry Hudson Park,,2.0,N,Karl,1938,N,Karl,"COLUMN ERECTED BY PRIVATE / SUBSCRIPTION *** MCMIX / STATUE AND
PANELS ERECTED / BY HENRY HUDSON PARKWAY AUTHORITY *** MCMXXXVIII/
BABB, COOK AND WELCH, ARCHITECTS / KARL BITTER, KARL GRUPPE,
SCULPTORS /",459,Bitter,"Milford granite, bronze","Explorer, English",,1938,,Gruppe,5744,,Henry Hudson Parkway and 227th Street,,Monument/Memorial,,,40.881873,NY
New York,Manhattan,Nobel Monument,,,,,Stele,Theodore Roosevelt Park,,1.0,N,Sivert,2003,N,A.,"Stele (north, top): PHYSICS, CHEMISTRY, / MEDICINE, LITERATURE, / PEACE, ECONOMICS /
Stele (north, bottom): ALFRED NOBEL / 1833-1896 / [BRONZE MEDALLION] / FOUNDER OF / THE NOBEL PRIZE / SWEDISH INVENTOR / INDUSTRIALIST / PHILANTHROPIST / AND HUMANIST / 
Stele (west): AMERICAN RECIPIENTS OF / THE NOBEL PRIZE / [NAMES OF AMERICAN NOBEL LAUREATES FROM 1906-1979] / 
Stele (south, top): AMERICAN RECIPIENTS OF / THE NOBEL PRIZE / [NAMES OF AMERICAN NOBEL LAUREATES FROM 1980-PRESENT]. / 
Stele (south, bottom): A GIFT TO THE PEOPLE OF THE CITY OF NEW YORK FROM THE MERCK COMPANY FOUNDATION / CREATED BY SIVERT LINDBLOM 2002 /",6306,Lindberg,Vanga red granite,"Engineer, Inventor, Swedish, Nobel Prize",,2003,,Lindblom,1130,,Columbus Avenue and West 80th Street,,Monument/Memorial,,,40.782302,NY
Staten Island,Staten Island,The Hiker,"Jno. Williams, Inc.",,,,Statue,Tompkinsville Park,,50.0,N,Allen,1916,N,,"Pedestal (north face): HIKER MONUMENT / ERECTED / IN COMMEMORATION OF / THE HEROES OF ALL WARS / IN WHICH / OUR BELOVED COUNTRY / WAS ENGAGED / FOR THE / PRINCIPLES OF DEMOCRACY / AND / A LASTING CIVILIZATION [---] JOSEPH S. DECKER COM. / NO. 20 DEPT. N.Y. UNITED / SPANISH WAR VETERANS /
Pedestal (south face): DEDICATED / TO / THE DAUGHTERS / OF THE / AMERICAN / REVOLUTION / 1776-1812 / 1848-1861-65 / 1898-1917-18 /
Pedestal (east face): DEDICATED / TO / OUR YOUNGER COMRADES / OF THE / AMERICAN LEGION / 1917-1918 / WHO SUCCESSFULLY / WAGED WAR ON FOREIGN SOIL / FOR / FREEDOM / PATRIOTISM / AND HUMANITY /
Pedestal (west face): DEDICATED / TO / OUR OLDER COMRADES / OF / ROBERT G. SHAW POST NO. 112 / GRAND ARMY OF / THE REPUBLIC / WHO BATTLED IN THE WAR/ THAT TRIED MEN'S SOULS / AND GAVE / TO FUTURE GENERATIONS / THE HERITAGE OF / A REUNITED COUNTRY / 1861-1865 /",349,,"Bronze, North Jay granite","Spanish-American War, War",,1916,,Newman,497,,Victory Boulevard and Bay Street,,Monument/Memorial,,,40.637620,NY
New York,Manhattan,Emma Lazarus,,,,,"Plaque, plinth",Battery Park,,1.0,N,,1955,N,,"A TRIBUTE TO / EMMA LAZARUS / POET-PATRIOT /---/ AUTHOR OF THE NEW COLOSSUS / THE SONNET INSCRIBED ON THE STATUE OF LIBERTY /---/ THE NEW COLOSSUS. / NOT LIKE THE BRAZEN GIANT OF GREEK FAME, / WITH CONQUERING LIMBS ASTRIDE FROM LAND TO LAND. / HERE AT OUR SEA-WASHED, SUNSET GATES SHALL STAND / A MIGHTY WOMAN WITH A TORCH, WHOSE FLAME / IS THE IMPRISONED LIGHTNING, AND HER NAME / MOTHER OF EXILES, FROM HER BEACON-HAND / GLOWS WORLD-WIDE WELCOME; HER MILD EYES COMMAND / THE AIR-BRIDGED HARBOR THAT TWIN CITIES FRAME. / ""KEEP ANCIENT LANDS, YOUR STORIED POMP!"" CRIES SHE / WITH SILENT LIPS, ""GIVE ME YOUR TIRED, YOUR POOR, / YOUR HUDDLED MASSES YEARNING TO BREATHE FREE. / THE WRETCHED REFUSE OF YOUR TEEMING SHORE / SEND THESE, THE HOMELESS, TEMPEST-TOST TO ME. / I LIFT MY LAMP BESIDE THE GOLDEN DOOR!"" /---/ PRESENTED BY THE / FEDERATION OF JEWISH WOMEN'S ORGANIZATIONS, INC. / ON THE OCCASION OF THE / AMERICAN JEWISH TERCENTENARY /---/ THIS FOUNDATION STONE IS THE GIFT OF THE / STATE OF ISRAE",1371,,"Bronze, Israel limestone","Writer, Patriot, Jewish, Woman",,1955,,,3,,West of Castle Clinton,,Monument/Memorial,,,40.703635,NY
Brooklyn,Brooklyn,Pratt and White Memorial,,,,,Plaque,Marine Park,,1.0,Y,,1939,N,,IN APPRECIATION OF / THE FORESIGHT OF / FREDERIC B. PRATT / ALFRED T. WHITE / WHO ASSEMBLED / THE LAND AROUND / GERRITSEN BASIN / AND GAVE IT TO THE / CITY FOR A PARK. / THIS GIFT WAS THE / BEGINNING OF / MARINE PARK. / ERECTED BY THE LEAGUE FOR THE / IMPROVEMENT OF MARINE PARK / 1939 /,,,Bronze,Philanthropist,,1939,,,8496,,Madison Place and Filmore Avenue,,Monument/Memorial,,,40.607830,NY
Staten Island,Staten Island,Lt. Nick Lia Memorial,,Cheshenko Carving,,,Plaque,Lt. Lia Playground,,1.0,N,,1994,N,,IN MEMORY OF / LT. NICK LIA / 1944-1968 / KILLED IN ACTION VIETNAM / PRESENTED BY / MILITARY ORDER OF DEVIL DOGS #69 / MARINE CORPS LEAGUE / S.I. DET NO. 1 1994 /,,,Granite,"Vietnam War, War",,1994,,,21,,"Wall Street, St. Marks Place and Belmont Place",,Monument/Memorial,,,40.643241,NY
Bronx,Bronx,Netanyahu Memorial,,,,,"Tablet, plinth",Pelham Parkway,,,N,,1977,N,,REMEMBER / [HEBREW LETTERS] / THIS MALL DEDICATED / IN MEMORY / OF / LT. COL. / YONATHAN NETANYAHU / WHO DIED SAVING JEWS / FROM TERRORISM AT ENTEBBE / BORN - U.S.A. 1945 - DIED 1976 / BRONX REGION / ZIONIST ORGANIZATION OF AMERICA / JUNE 1977 -SIVAN 5737,,,Gray granite,"Jewish, War, Israel, Zionism",,1977,,,,,Pelham Parkway and Holland Avenue,,Monument/Memorial,,,40.856917,NY
New York,Manhattan,Edith G. Bowdoin ASPCA Horse Trough,,M. McGrath and Co.,,,Basin,Grand Army Plaza,,1.0,N,,1912,N,,West face: PRESENTED TO THE / A.S.P.C.A. / BY / EDITH G. BOWDOIN / 1912 East face: REDEDICATED TO THE HORSES / OF THE CITY OF NEW YORK / BY THE / CITY OF NEW YORK / PARKS & RECREATION / CENTRAL PARK CONSERVANCY / AND THE ASPCA / 2001,4118,,Granite,Animals,,1912,,,1111,,East Drive and Grand Army Plaza,,Monument/Memorial,,,40.765229,NY
Bronx,Bronx,Bronx County Building Frieze (30 panels),,,,,Frieze,Bronx County Courthouse,,1.0,N,Charles,1934,N,,,1619,,Stone,"Allegorical, History, Law, Government, War, American Revolutionary War, Spanish-American War, American Civil War, World War I",,1933,,Keck,2468,,851 Grand Concourse,,Artwork,,,40.826156,NY
Bronx,Bronx,Wave Hill Landmarks Plaque,,,,,Plaque,,,440.0,N,,1963,N,,"LANDMARKS OF NEW YORK / WAVE HILL / THIS STRUCTURE, BUILT FOR WILLIAM LEWIS MORRIS / PRIOR TO 1620, HAS BEEN THE RESIDENCE OF / THOMAS H. APPLETON, THEODORE ROOSEVELT / MARK TWAIN, GEORGE W. PERKINGS, BASHFORD DEAN, / ARTURO TOSCANINI AND OTHERS. VISITORS / TO WAVE HILL HAVE INCLUDED THACKERAY, / TYNDALL, HERBERT SPENCER, THOMAS HUXLET AND / QUEEN MOTHER ELIZABETH. FROM 1950 TO 1956 IT / WAS LEASED TO THE BRITISH GOVERNMENT AS A / RESIDENCE FOR ITS AMBASSADOR TO THE UNITED NATIONS. / IN 1960 IT WAS PRESENTED TO THE DEPARTMENT OF / PARKS BY MR. AND MRS. EDWARD WOOLSEY FREEMAN. / PLAQUUE ERECTED 1963 BY / THE NEW YORK COMMUNITY TRUST",3503,,Aluminum,Landmark,,1963,,,5937,,West 252nd Street and Independence Avenue,,Marker,,,40.900093,NY
Glendale,Queens,Glendale War Memorial,,,,,"Plaque, stele",Glendale Veterans Triangle,,,N,Anton,1921,N,,ERECTED BY THE PEOPLE OF GLENDALE / IN GRATEFUL REMEMBRANCE / OF THOSE OF THEIR NUMBER WHO / SERVED IN THE WORLD WAR / 1917-1918 / THE NAMES OF THOSE WHO / LOST THEIR LIVES ARE / HERE INSCRIBED / P.D. BODAMER --- J.J. MCCOURTY / S. BIRNEY --- F.E. PAYNTON / J.V. DETTLING --- G.G. POWELL / C. FREY --- J.E. RAUTH / J.E. GRAUMANN --- C. ROESCH / C. KAYSER --- P.J. SCHEIBEL / A. KNIPPER --- C.J. SCHMIDT / O. KOCH --- W. SCHULTZ / C.T. LEONARD --- E.V. SULLIVAN / J.F. MATHIS --- F. WINTER / A.R. WALKER / PRO PATRIA /,984,,"Bronze, Georgia Granite","World War I, War",,1921,,Schaaf,,,Myrtle Avenue and Cooper Avenue,,Monument/Memorial,,,40.701848,NY
Bronx,Bronx,Puerto Rican Sun,,Lippincott Inc.,,,Sculpture,Fox Playground,,17.0,N,Rafael,1979,N,,,4195,,Cor-Ten Steel,"Puerto Rico, Puerto Rican, Latinx, Latin American, Nature, West Indies",,1979,,Ferrer,2720,,Fox Street and 156th Street,,Artwork,,,40.815278,NY
New York,Manhattan,Macaque and Orang-outang,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Frederick,1935,N,,Signed: F.G.R. ROTH,1859,,Indiana limestone,"Animals, WPA",,1935,,Roth,1111,,Central Park Zoo,,Artwork,,,40.768033,NY
New York,Manhattan,Cormorants,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Emil,1935,N,,Signed: E. SIEBERN,,,Indiana limestone,"Animals, WPA",,1935,,Siebern,1111,,Central Park Zoo,,Artwork,,,40.767221,NY
New York,Manhattan,Eternal Light Flagstaff,,,Thomas,,"Flagstaff base, plaque",Madison Square Park,,1.0,N,Paul,1924,N,,East face: TO OUR HEROES / 'TIS THE / STAR SPANGLED BANNER / OH LONG MAY IT WAVE/ O'ER THE LAND / OF THE FREE / AND THE HOME OF / THE BRAVE / YPRES-LYS / AISNE LYS / SOMME DEFENSIVE / SOMME OFFENSIVE West face: OISE-AISNE / ST. MIHIEL / CAMBRAI / AISNE-MARNE/ VITTORIO-VENETO/ MEUSE-ARGONNE / SOMME OFFENSIVE / CHAMPAGNE-MARNE / MONTDIDIER-NOYON/ THIS STAR WAS LIGHTED / NOVEMBER XI MCMXXIII North face: IN MEMORY OF THOSE / WHO HAVE MADE / THE SUPREME SACRIFICE / FOR THE TRIUMPH OF / THE FREE PEOPLES / OF THE WORLD South face: ERECTED / TO COMMEMORATE / THE FIRST HOMECOMING / OF THE VICTORIOUS / ARMY AND NAVY / OF THESE UNITED STATES / OFFICIALLY RECEIVED BY / THE CITY OF NEW YORK / ON THIS SITE / ANNO DOMINI MCMXVIII,734,,"Bronze, granite","World War I, War",,1924,,Bartlett,852,,Broadway and Fifth Avenue,,Monument/Memorial,,,40.742050,NY
New York,Manhattan,"Richard C. Patterson, Jr.",,,,,"Plaque, plinth",Central Park,,1.0,N,,1962,N,,"TO COMMEMORATE THE PLANTING / OF TWENTY ONE TREES / IN HONOR OF / COMMISSIONER RICHARD C. PATTERSON, JR / CO-CHAIRMAN OF NEW YORK'S SALUTE TO SEASONS / FOR HIS UNTIRING EFFORTS TO / BEAUTIFY OUR
CITY / PRESENTED BY A GRATEFUL NEW YORKER / 1962 / FIFTH AVENUE - EAST 60TH STREET TO EAST 79TH STREET/",3481,,"Bronze, marble",Diplomat,,1962,,,1111,,Fifth Avenue between 60th Street and 61st Street,,Monument/Memorial,,,40.774503,NY
New York,Manhattan,James Gordon Bennett Memorial,"s101 - decauville, paris, 1894",E. Gargani & Sons (restoration,Aymar,,"Sculpture, clock",Herald Square,,45.0,N,Antonin,1895,N,,"A MEMORIAL TO / JAMES GORDON BENNETT (1795-1872) / FOUNDER OF THE NEW YORK HERALD IN 1835 / AND TO HIS SON / JAMES GORDON BENNETT (1841-1918) / THRUGH WHOSE VISION AND ENTERPRISE / THE NEW YORK HERALD BECAME ONE OF THE / WORLD'S GREAT / NEWSPAPERS / THE BRONZE FIGURES OF MINERVA AND THE / BELLRINGERS ARE THE WORK OF ANTONIN/ JEAN CARLES. THEY STOOD, FROM 1895 TO / 1921. ABOVE THE CORNICES OF JAMES / GORDON BENNETT'S NEW YORK HERALD / BUILDING ON THE NORTH SIDE OF HERALD / SQUARE AND TOLLED THE ACTIVE HOURS TO / THE MILLIONS. IN 1928, THEY WERE GIVEN / BY WILLIAM T. DEWART, PUBLISHER OF THE / NEW YORK SUN, TO NEW YORK UNIVERSITY, / THROUGH WHOSE GENEROSITY IN 1928 THEY / ENTERED ON PERMANENT LOAN, THE
CARE / OF THE DEPARTMENT OF PARKS OF THE CITY / OF NEW YORK, THAT THEY MAY BE HERE / RESTORED TO THEIR ORIGINAL AREA OF PLEASANT SERVICE, AND / TO THEIR PLACE IN THE HEARTS OF OUR / CITIZENS. FUNDS FOR THE RESTORATION / WERE PROVIDED BY SUBSCRIPTION OF/ BUSINESS ORGANIZATIONS WHOSE LIVES ARE / DEEP ROOTED IN THE NEIGHBORHOOD OF / HERALD SQUARE. / MCMXL /

DOOR MEDALLION: OWL & CRESCENT, ""LA NUIT PORTE CONSEIL""

GODDESS OF LIBERTY ORIGINALLY FROM ALTAR OF LIBERTY IN GREENWOOD CEMETARY COMMEMORATING THE BATTLE OF LONG ISLAND. TABLET INSCRIPTION: MINERVA, GODDESS OF WISDOM, GLORY AND PATRIOTISM / HERE SALUTES THE STATUE OF LIBERTY.",97,,"Bronze, Milford pink granite","Journalist, Publisher, Mythology, clock",,1895,,Carlès,810,,Sixth Avenue and West 34th Street,,Monument/Memorial,"Bell Ringers Monument, Minerva and the Bell Ringers, Bell Ringers",,40.750389,NY
New York,Manhattan,Robert Ray Hamilton Fountain,,,,,Fountain,Riverside Park,,2.0,N,,1906,N,,BEQUEATHED TO THE CITY OF NEW YORK BY / ROBERT RAY HAMILTON,83,,Marble,"Fountain, Horse Trough, Politician",,1906,,,1254,,Riverside Drive and West 76th Street,,Monument/Memorial,Hamilton Drinking Fountain,,40.783260,NY
Brooklyn,Brooklyn,Christopher Columbus,,,Aymar,,"Statue, pedestal",Columbus Park,,1.0,N,Emma,1934,N,,CHRISTOPHER / COLUMBUS /,"3974, 2739",,"Marble, limestone","Explorer, Italian, Colonialism",,1867,,Stebbins,139,,Cadman Plaza West between Pierrepont and Montague Street,,Monument/Memorial,,,40.693916,NY
Far Rockaway,Queens,Rockaway Veterans Memorial,,,William,,Statue,Rockaway Beach Boulevard at Beach 94th Street,,,N,Joseph,1927,N,,"Medallion (front): American Legion

Plaque 1 (front): MAINTAINED BY / DANIEL M. O'CONNELL POST 272 / AMERICAN LEGION

Honor roll (front): / IF YE BREAK FAITH / WITH US / WE SHALL NOT SLEEP / HONOR ROLL / 1917 --- WORLD / WAR --- 1919 / WALTER BATES / IRVING FRIEDMAN / FRANK GEORGE / CHARLES HARRIS / JEROME O. HEINE / NELSON HEWLETT / CHARLES JACOB / ALBERT MAHER / PETER MOONEY / JOSEPH MCVAY / CHARLES W. MURRAY / DANIEL M. O'CONNELL / LOUIS E. REYNOLDS / ROBER F. RINCK / NICHOLAS SCHETTING / JULIUS STRAUSS / ARTHUR THOMPSON / 1917 --- WORLD WAR --- 1919

Honor roll (west): 1941 --- 1945 / DEDICATED TO / THOSE WHO MADE / THE SUPREME SACRIFICE / DURING WORLD WAR II / FRANCIS T. ACTON, JR. --- JOHN M. LEWIS, JR. / PHILIP AGLIATA --- HAROLD LORMAN / GODFREY R. AMES --- THOMAS MCARDLE / ARTHUR A. AMRON --- MYLES J. MCPARTLAND / JOSEPH N. ANGELONE --- BERNARD MEEHAN / JOSEPH ARCARIO, JR. --- FRED J. MEEHAN / JAMES M. BARRAVECHIA --- DONALD F. MURDOCK / IRVING BELDNER --- EDWARD MUROFCHICK / SAUL W. BERSON --- JAMES F. O'BRIEN / HAROLD J. BLANTHORN --- FRANCIS X. O'CONNELL / JOHN B. BRADY --- VINCENT W. O'KEEFE / LEONARD BUSCHEL --- OWEN P. O'REILLY / CORNELIUS M. CALPIN --- ALEXANDER G. OLSEN / SAMUEL P. CARCANIS --- GIRTSOL OPPENHEIMER / SAM CASALINO --- ALFRED ORLANDO / MARTIN F. COOGAN --- ISIDORE REIMER / JOHN E. CORRIGAN --- ALDO J. RIVARA / RICHARD H. DAVIS --- HAROLD W. ROBERTS / HENRY J. DEHNERT --- GEORGE P. ROLLY / THOMAS J. DENAPOLI --- STANLEY D. ROSE / PATRICK J. DONAHUE --- MICHAEL F. ROTONDO / JOHN G. DUNN --- OTTO SCHAFFNER / ALAN EVANS --- HERBERT SCHIMEK / VINCENT J. FAY --- JULES D. SCHLICHTER / OSCAR FINKELSTEIN --- SAMUEL J. SCHLOSSER
ARNOLD P. FOX --- DONALD R. SCHNEIDER / EDWARD GLEASON --- JACK P. SCHWARTZ / WILLIAM H. GUTERDING --- LLOYD SEASONWEIN / WALTER F. HAWTHORNE --- LOUIS SEIDMAN / PATRICK F. HESLIN --- MURRAY SEIFF / MELVILLE T. HESS --- DONALD W. SELZ / HERBERT HOPFENBERG --- DAVID DANIEL SHAPIRO / GEORGE P. HUMMEL --- FRANK SORENSEN / CHARLES JAMIESON --- HERBERT SPRINGER / JAMES KEHOE --- JOSEPH L. THIER / AUSTIN E. KELLY --- JOSEPH S. VELARDI / JAMES P. KENNY --- PAUL VERDONE / PHILIP J. KIELEY --- WILBERT A. WANKEL / SAMUEL KITOGRAD --- ALVIN S. WEISS / LEONARD KRAM --- BERNARD H. WIENER / SOL. IRVING LANDAU --- GEORGE A. WILLIAM / JOHN LEWIS --- JOHN P. ZIMMER

Honor roll (east): 1950 --- KOREA --- 1955 / IN MEMORY OF THOSE WHO SERVED THEIR COUNTRY / THOMAS W. AUGUST --- GEORGE MAMMES --- RALPH R. MITOLA / JOSEPH DIPIETRO --- GEORGE V. MCCORMICK --- / EDWARD P. O'DONNELL / JAMES F. FARRELL --- EDMUND J. MCGRATH --- DANIEL P. ROGERS / WALTER F. GROSS --- MORTIMER DOMROE --- WILLIAM VOGEL /

1961 --- VIETNAM --- 1975 / IN OUR HEARTS AND MINDS / THEY SHALL LIVE FOREVER / STEDMAN ADAMS --- / WILLIAM HAYES --- WILLIAM MORRIS / GERALD BREEN --- CHARLES R. HEMPEL --- DAVID C. NELSON / MCKINLEY CAUGHMAN --- THOMAS HOARE --- COSMO PACETTA / JOSE CRESPO --- ELBERT R. HUBSCHMITT --- JOSEPH A. SILON / WILLIAM H. DORAN --- TERRANCE P. JORDAN --- DANIEL J. SULLIVAN / MICHAEL ELFLEIN --- JAMES F. LUCAS --- PHILIP A. TINGLEY / HAROLD B. ELSERT --- JOHN MCGONIGAL --- / WILLIE J. WASHINGTON / FRANK FLORIO --- PETER T. MELAHAN --- WALTER WETZEL / HOWARD M. / GERSTEL --- GARY K. MORRIS --- FREDERICK F. WOODWARD / STEVEN V. GOLDSTEIN --- EDWARD J. ZEWERT",1474,,"Bronze, Deer Isle granite","World War I, World War II, Korean War, Vietnam War",,1927,,Pollia,,,Rockaway Beach Boulevard and Beach 94th Street,,Monument/Memorial,,,40.585708,NY
Brooklyn,Brooklyn,Cornelius Heeney,,,,,Plaque,Columbus Park,,1.0,N,Anneta,1977,N,,"Cornelius Heeney /---/ CORNELIUS HEENEY / 1754-1848 / IRISH IMMIGRANT, AMERICAN PATRIOT / EXEMPLARY CATHOLIC, PIONEER, PHILANTHROPIST, / STATESMAN, COMING IN POVERTY, RISING BY / INDUSTRY, STILL SHARING IN GENEROSITY, / FRIEND OF ORPHANS, WIDOWS, / AND POOR OF BROOKLYN. / DEDICATED OCTOBER 27, 1977 / BROOKLYN BENEVOLENT SOCIETY / FOUNDED MAY 10, 1845",2739,,"Bronze, granite","Irish, Immigrant, Immigration, Philanthropist, Religious leader",,1977,,Duveen,139,,Cadman Plaza West between Pierrepont Street and Montague Street,,Monument/Memorial,,,40.694166,NY
Bronx,Bronx,Corporal Walter J. Fufidio Flagstaff,,General Bronze Corporation,,,Flagstaff,Corporal Fufidio Square,,,Y,J.,1955,N,Dominick,Side one: FREEDOM / IN HONOR OF ALL / WHO GAVE THEIR LIVES / TO PRESERVE OUR NATION / ERECTED BY / CPL. WALTER J. FUFIDIO / POST 38 OF AMVETS /1955  Side two: WORLD WAR II Side three: KOREA / VIETNAM,3011,De Nigris,Granite,"World War II, Korean War, Vietnam War, War",,1955,,Lorenzi,,,"Spofford Avenue, Longwood Avenue, and Tiffany Street",,Monument/Memorial,,,40.813603,NY
Brooklyn,Brooklyn,Verrazzano Memorial Flagstaff,,,,,"Flagstaff base, relief",John J. Carty Park,,60.0,N,Albino,1964,N,,GIOVANNI DA VERRAZANO / 1480 / FLORENTINE EXPLORER / 1528,,,"Bronze, marble","Explorer, Italian",,1964,,Manca,6153,,Fort Hamilton Parkway and 95th Street,,Monument/Memorial,,,40.614861,NY
Brooklyn,Brooklyn,Shirley Chisholm Plaque,,Lewis Monument Company,,,Plaque,Brower Park,,1.0,N,,2016,N,,"SHIRLEY CHISHOLM CIRCLE / SHIRLEY ANITA ST. HILL CHISHOLM /1924 -2005 / EDUCATOR, COMMUNITY ACTIVIST, N.Y. STATE / ASSEMBLY MEMBER,U.S. CONGRESS MEMBER, / 1972 PRESIDENTIAL CANDIDATE / “WHEN I DIE I WANT TO BE REMEMBERED AS / A WOMAN WHO LIVED IN THE 20TH CENTURY / AND WHO DARED TO BE A CATALYST OF CHANGE.”",,,Bronze,"Women, African American, Black American, Black History, Politician, woman",,2016,,,1236,,Kingston Avenue between Prospect and Park Place,,Monument/Memorial,,,40.673463,NY
Bronx,Bronx,Ibis Totem,,,Aymar,,Bas-relief,Crotona Pool Bath House,,1.0,Y,Frederick,1936,N,,,177,,Stone,"Animals, WPA, Bathhouse",,1936,,Roth,2941,,173rd Street and Fulton Avenue,,Artwork,,,40.839942,NY
Brooklyn,Brooklyn,Pageant,,,,,Sculpture,Flatbush Avenue Extension,,,N,Brian,2017,N,,,5587,,"Acrylic resin, steel, motors, LED lights","Allegorical, Light installation",,2017,,Tolle,,,Flatbush Avenue and Tillary Street,,Artwork,Miss Manhattan and Miss Brooklyn,,40.695715,NY
Brooklyn,Brooklyn,Peter & Willie,"Bedi-Makky Art Foundry, 227 India Street Greenpoint, Brooklyn",,,,Statue,Prospect Park,,1.0,N,Otto,1997,N,,,4641,,"Bronze, basalt, ceramic","African American, Black American, Black History, Children, Literary Characters",,1997,,Neals,1117,,Ocean Avenue between Lincoln Road and Parkside Avenue,,Artwork,,,40.658528,NY
