total_changes,pid,date_reported_as_of,design_start,description,latest_budget_changes,forecast_completion,managing_agency,changes,client_agency,budget_forecast
1029.0,1901-12-03,2019-01-01,2019-01-30T00:00:00.000,"Repair the Pelham Bay Equestrian Park bridge over Amtrak, the Bronx",-40120003.0,2026-10-21,DOT,137997.0,DPR,1208997.0
836.0,1900-04-29,2020-01-01,2000-02-14T00:00:00.000,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",-42524676.0,,DOT,22682117.0,DOT,74191379.0
1521.0,1902-02-08,2021-07-01,2017-03-06T00:00:00.000,"The Department of Sanitation of the City of New York (DSNY) is planning to rehabilitate Queens Districts 11 and 13 garage. The renovation serving both districts is to extend the useful life of the facility through rehabilitation of the building structure and systems. The renovation includes: Extensive structural work that includes the replacement of reinforced concrete slabs and stiffening of the existing steel frame, select replacement of building MEP systems, including BMS systems, architectural renovation of the entire building, study and implementation of deep energy conservation measures (DECMs), and site work which includes new landscape work and replacement of sidewalks and driveways. Rehabilitation is required to meet LEED Silver requirements.",4463000.0,2025-06-30,DDC,36221000.0,Sanitation,72557000.0
0.0,1903-07-16,2023-01-01,2021-03-04T00:00:00.000,CSO-FC-DF - Flushing Creek CSO Disinfection Project,-45000.0,2029-01-18,DEP,-45000.0,BWT,79666413.0
,1903-03-28,2022-04-01,2022-04-18T00:00:00.000,,0.0,,DDC,500000.0,Parks & Recreation,98367000.0
1736.0,1902-05-10,2022-09-01,2018-09-01T00:00:00.000,Regrading and reconstruction of 33rd Street Viaduct between 11th and 12th Avenue..,0.0,2026-11-30,EDC,0.0,DOT,100000000.0
1619.0,1902-03-02,2020-05-01,,,,,DDC,31711000.0,Environmental Protection,
256.0,1901-02-12,2014-01-01,2012-03-23T00:00:00.000,"To address existing leaks in the Delaware Aqueduct, a 3-mile bypass tunnel will be constructed near the town of Roseton and the existing tunnel will be repaired near the town of Wawarsing.",28324.0,2024-05-01,DEP,202552329.25,DEP,705942366.0
1238.0,1902-02-22,2019-09-01,2017-01-04T00:00:00.000,Installation of storm sewers at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),0.0,2023-11-29,DDC,155854000.0,Environmental Protection,102946000.0
1684.0,1901-02-09,2017-04-01,2008-12-01T00:00:00.000,"This project will rehabilitate the mechanics and the architecture of the Shandaken Tunnel Intake Chamber, which includes the replacement of gates and general site improvements.",11359228.0,2021-01-01,DEP,33535991.2,DEP,65207241.0
714.0,1901-03-18,2018-03-01,2016-10-11T00:00:00.000,Replacement of the Esopus Creek Bridge & Route 28A Railroad Bridge,1113910.66,2024-05-20,DEP,-50461071.35,DEP,91385531.0
3241.0,1901-03-24,2019-05-01,2018-08-02T00:00:00.000,"Replacement of thickener pumps, piping, sludge pumps, mixing pumps, recirculation pumps, spray water pumps, and heat exchangers. Install Gravity Belt Thickener, GBT pumps, polymer feed system.  Rehab of Thickeners, Sludge Box, and Distribution Box.",29421575.0,2024-09-06,DEP,57138101.3,DEP,73093185.0
921.0,1901-12-21,2022-04-01,2018-11-01T00:00:00.000,SMLP portion for Red Hook WWTP as part of the New York City Wastewater Resiliency Program.,-45946.04,2022-09-01,DEP,13549422.97,DEP,39078898.98
1355.0,1902-01-19,2022-09-01,2016-07-20T00:00:00.000,Demolish existing on-story facility. Construct a two-story new building for animal care center with a drive-through parking lot to meet the new program.,1770000.0,2025-09-11,DDC,21288000.0,Health,47132000.0
0.0,1902-12-24,2021-07-01,2019-08-29T00:00:00.000,NEW SCHOOL,-1926038.0,2024-09-03,SCA,-1926038.0,DOE,93838545.0
2113.0,1901-01-22,2018-03-01,2013-09-30T00:00:00.000,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,0.0,2020-06-03,DDC,-7266000.0,Environmental Protection,46482000.0
1535.0,1901-08-08,2017-09-01,2016-04-29T00:00:00.000,"Install, remove, and furnish equipment for electrical work associated with traffic signals, lighting, and distribution systems in Central Park, Manhattan.",-49999.6,2019-06-18,DOT,-3323649.6,DOT,42329126.0
1355.0,1902-01-19,2021-03-01,,,,,DDC,21288000.0,Health,
1477.0,1901-06-24,2021-03-01,,,,,DOT,-19049921.84,DOT,
1449.0,1900-05-10,2018-08-01,2017-08-15T00:00:00.000,"Replace the 49th Avenue bridge over Long Island Railroad and Amtrak in Hunters Point, Queens.",-500000.0,2024-06-13,DOT,32902419.0,DOT,81595000.0
0.0,1902-12-14,2022-04-01,,,,,FDNY,-8074214.27,,
1306.0,1901-12-22,2021-03-01,2018-06-11T00:00:00.000,Throgs Neck Pumping Station Rehabilitation and Improvements,1.19,2024-05-29,DEP,25708336.86,DEP,56696739.69
3597.0,1900-07-22,2014-05-01,2013-02-13T00:00:00.000,"Reconstruct roadway and extend storm and sanitary sewers in portions of Brookville Boulevard, Edgewood Street, 147th Avenue, and adjacent streets west of 241st Street.",435000.0,2018-10-10,DDC,106503000.0,Transportation,28571000.0
664.0,1902-03-21,2018-03-01,2017-02-06T00:00:00.000,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",,2021-12-04,DOT,4194366.0,DOT,30038945.0
-8.0,1900-07-24,2019-01-01,2008-06-19T00:00:00.000,"Roadway reconstruction and installation of new storm sewers and the replacement of sanitary sewers and water mains in the Midland Beach section, Staten Island.",-12700000.0,2022-06-28,DDC,62973000.0,Trans. & Env. Protection,85330000.0
1645.0,1901-06-17,2022-09-01,2019-06-17T00:00:00.000,Replace the existing structure (swing-type bridge) with a new bridge; located between Gardner Avenue in Brooklyn and 47th Street in Queens.,2720000.0,2031-07-28,DOT,160682490.0,DOT,282342490.0
1839.0,1901-09-14,2020-01-01,,,,,DDC,25050000.0,Transportation,
836.0,1902-02-11,2018-03-01,2017-04-01T00:00:00.000,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,,2024-05-01,DDC,-418193636.37,Parks & Recreation,510854000.0
1919.0,1901-07-26,2021-07-01,2017-08-01T00:00:00.000,"Construction of new Sanitation garage facility to serve Bronx community districts 9, 10, and 11 to be located at Zerega Avenue in the Bronx",0.0,2029-09-30,DSNY,268983862.56,DSNY,337050342.66
484.0,1902-10-08,2021-07-01,,,,,DDC,6153000.0,Transportation,
913.0,1902-08-19,2023-01-01,2015-09-30T00:00:00.000,Mixed-use residential community on Staten Island's North Shore.,0.0,2027-05-03,EDC,100733778.0,EDC,199141423.0
711.0,1901-09-25,2021-12-01,2014-09-30T00:00:00.000,"Design and build a new Police Precinct with full basement totaling 43,000 sq. ft. on an existing City owned property in the Bronx.",200000.0,2022-10-26,DDC,26020000.0,Police,80953000.0
549.0,1900-04-03,2023-01-01,2014-09-15T00:00:00.000,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,34000.0,,DOT,-238419180.0,DOT,22204190.0
256.0,1901-02-12,2020-10-01,2012-03-23T00:00:00.000,"To address existing leaks in the Delaware Aqueduct, a 3-mile bypass tunnel will be constructed near the town of Roseton and the existing tunnel will be repaired near the town of Wawarsing.",3444754.6,2023-04-28,DEP,202552329.25,DEP,884917571.3
1840.0,1902-09-07,2021-07-01,2016-12-15T00:00:00.000,PRELIMINARY AND FINAL DESIGN SERVICES FOR RECONSTRUCTION OF WESTBOURNE NORTON DRIVE.   BOROUGH OF QUEENS,-6189000.0,2029-09-26,DDC,47223000.0,Transportation,39253000.0
,1903-10-04,2023-01-01,2012-12-10T00:00:00.000,Repair and Rehabilitation of Interceptor Sewers at Various Locations in the Boroughs of Manhattan and The Bronx.,,2024-06-13,DDC,,Environmental Protection,30611000.0
366.0,1902-10-24,2021-12-01,2019-01-29T00:00:00.000,ADDITION / WORK IN SUPPORT OF ADDITION / FIRE ALARM SYSTEM,0.0,2024-09-03,SCA,5307201.0,DOE,89707695.0
0.0,1903-05-06,2021-12-01,2021-03-24T00:00:00.000,NEW SCHOOL,,2024-09-03,SCA,9539089.0,DOE,133550326.0
,1903-07-03,2023-01-01,2022-02-10T00:00:00.000,This project will reconstruct the roof of the Flushing Meadows Corona Park Aquatic Center.,0.0,,DPR,0.0,DPR,33146000.0
1415.0,1902-01-10,2021-03-01,,,,,DDC,22503000.0,Transportation,
226.0,1900-07-09,2022-04-01,2017-03-29T00:00:00.000,"Reconstruction of Wyckoff Avenue from Flushing Avenue to Cooper Avenue, in the Boroughs of Brooklyn and Queens..",2525000.0,2028-03-30,DDC,43926000.0,Trans. & Env. Protection,76517000.0
1091.0,1901-11-02,2019-09-01,2018-04-16T00:00:00.000,SMLP portion for Hunts Point WRRF as part of the New York City Wastewater Resiliency Program.,0.0,2021-08-16,DEP,20080597.79,DEP,40053442.93
1684.0,1901-06-05,2021-03-01,2015-11-13T00:00:00.000,Power Distribution at Bowery Bay WWTP.,0.0,2023-01-27,DEP,24235381.01,DEP,68873764.13
1712.0,1901-02-26,2015-08-01,2013-07-01T00:00:00.000,This project will replace the 10 existing pump and blower engines with electric motors for the main sewage pumps and a new cogeneration facility consisting of 5 new dual fuel engines and electrical service distribution upgrades.,40404281.0,2020-09-13,DEP,134242052.88,DEP,194860876.0
942.0,1902-05-07,2019-09-01,2018-11-30T00:00:00.000,"The restoration of the existing landmarked Orchard Beach Pavilion (located in Bronx, NY) which includes the construction of an ADA ramp at the main entrance of the Pavilion to improve accessibility to the beach passageway.",0.0,2022-08-01,EDC,35628847.0,DPR,60000000.0
1064.0,1902-08-13,2022-09-01,2017-11-01T00:00:00.000,"Rehabilitation of garage that serves Bronx Community District 12 located at 1635 East 233rd Street, Bronx.",0.0,2027-12-31,DSNY,0.0,DSNY,57376185.0
2003.0,1900-04-10,2020-05-01,2003-03-10T00:00:00.000,Repair the bridge superstructure and substructure and install a new concrete-filled steel grid deck.,2793000.0,,DOT,23798213.0,DOT,119994667.0
2266.0,1901-01-04,2020-05-01,,,,,DDC,39272000.0,Environmental Protection,
1720.0,1901-08-10,2018-08-01,2017-10-05T00:00:00.000,"Replace the East 156th Street bridge over Access to Housing, Bronx.",0.0,2024-09-05,DOT,-363846.0,DOT,65500000.0
819.0,1902-04-22,2022-09-01,2018-07-17T00:00:00.000,The construction of Southern Brooklyn Crosstown Select Bus Service (SBS),4871000.0,2026-09-17,DDC,29789000.0,Transportation,91085000.0
1243.0,1901-07-14,2017-04-01,2016-02-01T00:00:00.000,"Renovation of CIH to advance the City’s resiliency plan, repair damages,  and protect the hospital from future disasters.",0.0,2022-08-08,EDC,30635879.93,H+H,665168171.0
3597.0,1900-07-22,2021-12-01,2012-08-17T00:00:00.000,"Reconstruct roadway and extend storm and sanitary sewers in portions of Brookville Boulevard, Edgewood Street, 147th Avenue, and adjacent streets west of 241st Street.",-260000.0,2027-04-21,DDC,106503000.0,Transportation,93875000.0
153.0,1902-10-18,2021-07-01,2020-02-01T00:00:00.000,"Development, design, and construction of NYC Ferry Homeport II within Atlantic Basin.",54340.0,2023-09-30,EDC,51220834.0,EDC,65054340.0
0.0,1903-01-05,2021-07-01,2019-09-25T00:00:00.000,ADDITION / EXISTING SCHOOL RENOVATION WORK (PHASE I) / DEMOLITION (PHASE II),,2024-09-03,SCA,0.0,DOE,86862349.0
-8.0,1900-07-24,2021-07-01,2014-10-15T00:00:00.000,"Installation of Storm, Sanitary Sewers in the following Streets:=================================1- Cedar Grove Avenue between Ebbitts Street and new Dorp Lane.2- Milton Avenue between Ebbitts Street and new Dorp Lane.3- Finley Avenue between Ebbitts Street and new Dorp Lane.4- Roma Avenue between Ebbitts Street and new Dorp Lane.5- Hett Avenue between Ebbitts Street and new Dorp Lane.6- Marine Way between Cedar Grove and Milton Avenue7- Beacon Avenue between Roma Avenue and Milton Avenue.8- Dustan Avenue between Marine way and Milton Avenue.9- Garibaldi Avenue between Roma Avenue and Cedar Grove Avenue.10- Cedar Grove Court between Cedar Grove Avenue and Dustan Street.11- Topping Street between Cedar Grove Avenue and Dustan Street.12- Center Way between Cedar Grove Avenue and Dustan Street.13- Neptune Street between Cedar Grove Avenue and Dustan Street.14- Seafoam Street between Cedar Grove Avenue and Dustan Street.15- Waterside Street between Cedar Grove Avenue and Dustan Street.16- Maple Terrace between Cedar Grove Avenue and Dustan Street.17- Herman Street between Cedar Grove Avenue and Dustan Street.18- Neutral Avenue between Cedar Grove Avenue and Dustan Street.19- Milbank Drive between Cedar Grove Avenue and Dustan Street.",-6642000.0,2023-06-20,DDC,62973000.0,Trans. & Env. Protection,91854000.0
1834.0,1902-03-03,2020-05-01,,,,,DDC,7404000.0,Environmental Protection,
3241.0,1901-03-24,2020-10-01,2018-08-02T00:00:00.000,"Replacement of thickener pumps, piping, sludge pumps, mixing pumps, recirculation pumps, spray water pumps, and heat exchangers. Install Gravity Belt Thickener, GBT pumps, polymer feed system.  Rehab of Thickeners, Sludge Box, and Distribution Box.",0.0,2025-06-03,DEP,57138101.3,DEP,78425184.91
1238.0,1902-02-22,2023-01-01,2016-01-04T00:00:00.000,Installation of storm sewers at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),0.0,2026-04-20,DDC,155854000.0,Environmental Protection,157553000.0
1630.0,1902-04-26,2020-01-01,,,,,DDC,14480000.0,Transportation,
3597.0,1900-07-22,2013-09-01,2013-02-13T00:00:00.000,"Reconstruct roadway and extend storm and sanitary sewers in portions of Brookville Boulevard, Edgewood Street, 147th Avenue, and adjacent streets west of 241st Street.",,2018-10-10,DDC,106503000.0,Transportation,28136000.0
1036.0,1902-05-11,2022-04-01,2019-06-13T00:00:00.000,Reconstruction of bulkhead and piers at 79th St Boat Basin on behalf of NYCDPR .,0.0,2025-09-08,EDC,-1131246.67,DPR,89219175.0
1215.0,1901-05-30,2022-04-01,2014-03-17T00:00:00.000,"Reconstruction of Storm and Sanitary sewer, Trunk and distribution water main in Coney Island area - Phase 3A, Borough of Brooklyn",0.0,2023-11-27,DDC,25273000.0,Environmental Protection,63020000.0
2797.0,1900-04-15,2016-06-01,2005-04-01T00:00:00.000,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",1592982.64,2020-11-13,DOT,39724388.0,DOT,169946545.64
1684.0,1901-06-05,2022-04-01,2015-11-13T00:00:00.000,Power Distribution at Bowery Bay WWTP.,0.0,2024-03-29,DEP,24235381.01,DEP,68873764.13
,1903-09-29,2023-01-01,2022-06-27T00:00:00.000,Construction of ROW Green Infrastructure in CI005 Phase 2,,2025-08-27,DDC,,Environmental Protection,36486000.0
1415.0,1902-01-10,2021-12-01,2016-12-16T00:00:00.000,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,-2000.0,2025-10-30,DDC,22503000.0,Transportation,48243000.0
226.0,1900-07-09,2019-05-01,2017-03-29T00:00:00.000,"Reconstruction of Wyckoff Avenue from Flushing Avenue to Cooper Avenue, in the Boroughs of Brooklyn and Queens..",-30403000.0,2023-03-29,DDC,43926000.0,Trans. & Env. Protection,43745000.0
1110.0,1902-01-18,2019-09-01,2017-09-18T00:00:00.000,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,0.0,2024-07-23,DDC,82000.0,Transportation,64905000.0
226.0,1900-07-09,2017-09-01,2008-06-10T00:00:00.000,"Reconstruction of Wyckoff Avenue from Flushing Avenue to Cooper Avenue, in the Boroughs of Brooklyn and Queens.",170000.0,2030-01-13,DDC,43926000.0,Trans. & Env. Protection,47099000.0
813.0,1902-04-28,2019-01-01,2016-09-30T00:00:00.000,High Level Storm Sewer Installation and Water Main Replacement in Gowanus Canal Phase II in the Borough of Brooklyn.,511000.0,2021-09-29,DDC,8657000.0,Environmental Protection,34191000.0
1155.0,1902-02-26,2020-01-01,,,,,DDC,94201000.0,Environmental Protection,
1533.0,1901-05-24,2022-09-01,2017-03-31T00:00:00.000,"Brooklyn Supreme Court, Fire Alarm, Sprinkler, 360 Adams Street - New addressable fire detection and alarm system and new sprinkler system.",120000.0,2026-09-29,DDC,47003000.0,DCAS,90313000.0
0.0,1903-01-04,2023-01-01,2020-08-12T00:00:00.000,NEW SCHOOL,0.0,2024-09-03,SCA,1339880.0,DOE,94126570.0
2266.0,1901-01-04,2018-03-01,2014-12-02T00:00:00.000,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",0.0,2021-07-12,DDC,39272000.0,Environmental Protection,49463000.0
1400.0,1901-06-02,2022-04-01,2016-08-04T00:00:00.000,"PED. SAFETY UPGRADES ON ATLANTIC AVE - PH 2, BROOKLYN",469000.0,2024-05-30,DDC,10136496.0,Transportation,40013000.0
1553.0,1902-04-29,2019-09-01,2018-01-22T00:00:00.000,Installation of new building wide fire alarm and sprinkler distribution for 253 Broadway,0.0,2022-05-05,DDC,17827000.0,DCAS,29634000.0
3253.0,1900-07-11,2016-06-01,2012-06-07T00:00:00.000,"Reconstruction and restoration of Belgian block roadways in the DUMBO and Vinegar Hill communities concurrent with installation of new water main, combined sewers and storm sewers, plus construction of the Pearl Street Triangle Plaza.",411000.0,2018-11-23,DDC,96724000.0,Transportation,47094000.0
1188.0,1902-04-20,2019-05-01,2018-06-27T00:00:00.000,"New Utrech branch library is a comprehensive interior and exterior renovation which includes new fire alarm/ BMS, new interior layout, new HVAC, new roof, exterior rehabilitation and landscape.",0.0,2024-06-18,DDC,290000.0,Libraries-BPL,26368000.0
1517.0,1901-04-22,2018-08-01,2015-06-19T00:00:00.000,"Project to ensure the reliability of the 74 mile upper Catskill Aqueduct, including replacement of mechanical components, leak mitigation, and biofilm removal/condition assessment.",-41920214.0,2021-07-17,DEP,9642889.68,DEP,202601657.0
942.0,1902-05-07,2022-09-01,2018-11-30T00:00:00.000,"The restoration of the existing landmarked Orchard Beach Pavilion (located in Bronx, NY) which includes the construction of an ADA ramp at the main entrance of the Pavilion to improve accessibility to the beach passageway.",0.0,2025-02-28,EDC,35628847.0,DPR,87652588.0
836.0,1900-04-29,2016-06-01,2000-02-14T00:00:00.000,"Repair the existing bridge and separate the NYCDOT and NYCT components. Includes new steel plate girders, concrete deck, pedestals, backwalls, sidewalks, and bridge railing.",267935.25,2020-05-09,DOT,22682117.0,DOT,65702486.6
256.0,1901-02-12,2016-11-01,2012-03-23T00:00:00.000,"To address existing leaks in the Delaware Aqueduct, a 3-mile bypass tunnel will be constructed near the town of Roseton and the existing tunnel will be repaired near the town of Wawarsing.",2020719.0,2022-09-26,DEP,202552329.25,DEP,874643997.83
2363.0,1901-03-23,2022-04-01,2016-02-24T00:00:00.000,"Improvements to: fencing, vegetation, roadway, drainage, ext. above-ground retaining walls. Including repair of dam inlet archway & wingwall, re-pointing of stones & reinforcement of east reservoir wall, & leakage/seepage protection within OCA.",0.0,2026-12-29,DEP,-833277.14,DEP,57255623.09
1110.0,1902-01-18,2021-07-01,2017-09-18T00:00:00.000,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,-1980000.0,2025-12-14,DDC,82000.0,Transportation,62925000.0
612.0,1902-10-11,2022-04-01,2019-05-29T00:00:00.000,"This project will construct Grant Park, including converting the roadbed to recreational space.",0.0,2025-01-27,DPR,1489000.0,DPR,32590000.0
1188.0,1902-04-20,2021-12-01,2018-06-27T00:00:00.000,"New Utrech branch library is a comprehensive interior and exterior renovation which includes new fire alarm/ BMS, new interior layout, new HVAC, new roof, exterior rehabilitation and landscape.",0.0,2026-11-27,DDC,290000.0,Libraries-BPL,26658000.0
2697.0,1901-12-08,2023-01-01,2019-02-07T00:00:00.000,"Repair the Harlem River Drive Ramp to George Washington Bridge over Harlem River Drive Southbound (Trans-Manhattan Expressway), Manhattan",-1716416.0,2035-09-02,DOT,-3711870.0,DOT,425871130.0
2846.0,1901-11-26,2021-03-01,,,,,DOT,-621966.0,DOT,
2027.0,1901-07-09,2020-10-01,2017-09-28T00:00:00.000,"Replace/Rehab the Metropolitan Avenue bridge over CSX Transport, Queens.",0.0,2029-10-24,DOT,4699394.0,DOT,72801394.0
0.0,1903-01-06,2021-12-01,2020-03-13T00:00:00.000,NEW SCHOOL / PLAYGROUND REDEVELOPMENT,0.0,2024-09-03,SCA,-505800.0,DOE,81015110.0
1248.0,1901-10-26,2022-09-01,2015-09-15T00:00:00.000,Replace existing administration wing; provide new parking and new inspection lane within the facility.,120000.0,2026-05-01,DDC,75370000.0,DCAS,152476000.0
1816.0,1901-05-16,2019-05-01,2016-08-30T00:00:00.000,Repair the northbound FDR from East 42nd to 49th Streets.,2539508.0,2027-03-06,DOT,-2802822.0,DOT,100115670.0
1096.0,1903-03-21,2021-12-01,2018-09-06T00:00:00.000,Reconstruction of Sunset Park North Section of the Brooklyn Waterfront Greenway.,710000.0,2024-07-13,DDC,20345000.0,Transportation,26661000.0
1891.0,1900-11-08,2021-07-01,2014-01-01T00:00:00.000,"This project will upgrade the Borden Ave Pump Station by expanding its footprint; provide replacement equipment; convert dry well to wet well; line existing 14"" FM; and provide provisions for future project to expand capacity of PS to 26 MGD.",0.0,2025-03-21,DEP,-4338327.57,DEP,38631300.43
1415.0,1902-01-10,2021-07-01,2016-12-16T00:00:00.000,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,7847000.0,2025-10-30,DDC,22503000.0,Transportation,48245000.0
1854.0,1901-06-28,2023-01-01,2014-01-01T00:00:00.000,"Priority mitigation projects for the repair/restoration and hazard mitigation for Bellevue Hospital, damaged during Superstorm Sandy",0.0,2023-04-28,EDC,0.0,H+H,50941375.0
516.0,1902-08-05,2020-05-01,2019-09-03T00:00:00.000,"Reconstruction of main sewage pumps and ancillary components including suction valves, suction piping, seal water system, pressure gauges, suction header, etc. New MSP's should meet the new design parameter of N+2 redundancy during wet weather flow",-6600000.0,2025-09-15,DEP,26923720.62,DEP,48213236.0
1113.0,1901-02-08,2018-03-01,2004-03-18T00:00:00.000,"Gilboa Dam Reconstruction Project includes construction of a new low level outlet (LLO) consisting of 2,000 feet of tunneling, an access shaft, oulet structure and gate valve controls.",59108.62,2020-10-12,DEP,10376533.49,DEP,205460484.72
1568.0,1901-06-19,2020-05-01,2006-08-01T00:00:00.000,"Repair Park Avenue tunnel, located in Midtown, Manhattan.",900000.0,,DOT,-17773389.61,DOT,46553074.0
0.0,1903-01-10,2022-04-01,2020-01-16T00:00:00.000,NEW SCHOOL,0.0,2024-09-03,SCA,0.0,DOE,80833865.0
-98.0,1903-03-03,2022-09-01,2020-03-02T00:00:00.000,12TH AVENUE ACCESSIBILITY IMPROVEMENTS,0.0,2026-01-31,DDC,51571000.0,Transportation,109491000.0
836.0,1902-02-11,2018-08-01,2017-04-01T00:00:00.000,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,0.0,2025-04-30,DDC,-418193636.37,Parks & Recreation,510854000.0
1535.0,1901-08-08,2022-09-01,2016-04-29T00:00:00.000,"Install, remove, and furnish equipment for electrical work associated with traffic signals, lighting, and distribution systems in Central Park, Manhattan.",335712.0,2023-06-30,DOT,-3323649.6,DOT,39771188.0
753.0,1902-03-01,2022-09-01,2019-07-23T00:00:00.000,"SOUTHEAST QUEENS 150TH STREET SPINE, PHASE 1.  DOUBLE BARREL STORM SEWER AND OUTFALL AT BERGEN BASIN FOR THE 150TH STREET TRUNK SEWER WHICH SHARES AN OUTFALL WITH THE GUY R BREWER TRUNK SEWER",700000.0,2026-04-03,DDC,101452000.0,Environmental Protection,143211000.0
1415.0,1902-01-10,2022-09-01,2016-12-16T00:00:00.000,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,9893000.0,2026-05-15,DDC,22503000.0,Transportation,60299000.0
15.0,1903-04-24,2021-12-01,2021-07-12T00:00:00.000,"HWQ100SBB, Woodhaven Blvd – SBS – Phase B, calls for capital improvements along Woodhaven Blvd between Union Turnpike and 107th Avenue in the borough of Queens. These improvements include but are not limited to median widening, building out neck downs, normalizing intersections and other features to increase safety and support the Woodhaven SBS.",10000.0,2028-10-14,DDC,-20000.0,Transportation,50748000.0
3241.0,1901-03-24,2021-07-01,2018-08-02T00:00:00.000,"Replacement of thickener pumps, piping, sludge pumps, mixing pumps, recirculation pumps, spray water pumps, and heat exchangers. Install Gravity Belt Thickener, GBT pumps, polymer feed system.  Rehab of Thickeners, Sludge Box, and Distribution Box.",322964.3,2026-07-18,DEP,57138101.3,DEP,78748149.21
-388.0,1900-06-18,2019-09-01,2012-12-03T00:00:00.000,"Reconstruction of Bergen Avenue Area, including Storm Sewers, Water Mains, Street Lighting, Traffic Signal  Work, and reconstruction of new outfall at East Mill Basin.",54066000.0,2023-06-24,DDC,45837000.0,Transportation,90383000.0
1400.0,1901-06-02,2018-03-01,2016-08-04T00:00:00.000,"Safety Improvements on Atlantic Ave from Conduit Avenue to Rockaway Blvd, Phase 2, Brooklyn",0.0,2021-12-21,DDC,10136496.0,Transportation,39140000.0
1720.0,1901-08-10,2022-09-01,2019-01-25T00:00:00.000,"Replace the East 156th Street bridge over Access to Housing, Bronx.",-3277837.0,2029-02-21,DOT,-363846.0,DOT,62222494.0
547.0,1903-03-01,2022-09-01,2021-03-25T00:00:00.000,BBJ Queens Garage - Construction of new multi-level Garage with Community Space,180000.0,2021-10-11,DDC,1314000.0,Corrections,95791000.0
1908.0,1901-08-06,2019-05-01,2016-04-13T00:00:00.000,"Rehabilitate approach arches and towers of Brooklyn Bridge.  Including masonry cleaning, masonry repairs, repointing, rehabilition of transverse walls, new infill walls of the approach arch blocks.  Clean and repoint the tower masonry, reinforce the gothic arches of the towers, and rehabilitate the tower tops.",21572216.0,2022-06-01,DOT,33135732.1,DOT,365264863.0
365.0,1902-10-23,2021-03-01,2019-02-01T00:00:00.000,ADDITION / PLAYGROUND REDEVELOPMENT PROJECT,0.0,2023-09-03,SCA,0.0,DOE,63735015.0
2180.0,1901-03-07,2019-05-01,2012-07-10T00:00:00.000,"Storm and sanitary sewers in 20th Ave  between 126th Street and U.S. Bulkhead Line, etc. Water main works.",-100000.0,2021-06-29,DDC,117177000.0,Environmental Protection,132588000.0
1467.0,1902-05-04,2020-10-01,,,,,DDC,6536000.0,Transportation,
730.0,1902-05-25,2019-01-01,2018-01-26T00:00:00.000,Design and construction of a new school,,2021-09-03,SCA,6379885.0,DOE,59869576.0
548.0,1902-07-23,2021-07-01,2018-10-02T00:00:00.000,"By Notice To Proceed letter dated September 21, 2018, the New York City Department of Design and Construction (�DDC�) directed PMS Construction Management Corp. (�PMS�) to commence work on Capis ID PW348-71, Contract No. 20191404531 CM/Design/Build for the Replacement and Upgrade of Petroleum Storage Tanks for the Borough of Manhattan. The contract was awarded for a maximum fee of $28,026,750.00 and was partially registered by the Comptroller on September 21, 2018 in the amount of $4,885,000.00. The term of the contract is 1,095 consecutive calendar days from September 21, 2018. Contract termination date is September 19, 2021.",3444000.0,2023-03-20,DDC,3444000.0,DCAS,32709000.0
-1.0,1903-03-20,2022-04-01,2018-04-25T00:00:00.000,"RECONSTRUCTION OF GREENWICH STREET FROM BARCLAY STREET TO CHAMBERS STREET, MANHATTAN",44000.0,2024-11-06,DDC,4449000.0,Transportation,35740000.0
913.0,1902-08-28,2019-09-01,2017-06-20T00:00:00.000,"Rehabilitation of garage, broom garage and salt shed that serves Bronx Community Disrtict 6 located at 800 East 176th Street, Bronx.",,2025-06-30,DSNY,0.0,DSNY,39941681.0
1279.0,1901-12-23,2023-01-01,,"The Epic Revenue Cycle system will be  enterprise-wide and help increase revenue (by proper billing of services provided) in addition to ensuring patient safety and improved patient care, a top priority in workflows.",0.0,2023-12-31,HHC,0.0,H+H,289117990.0
