borough,project_name,total_schedule_changes,latest_schedule_changes,date_reported_as_of,total_budget_changes,pid,forecast_completion,category,current_phase
,"Water Main Replacement In 222 Street, Queens",2236.0,365.0,2019-05-01T00:00:00.000,7195000.0,768,2023-01-18T00:00:00.000,Water Supply,Design
,Williamsburg Bridge Miscellaneous Repairs and Painting,362.0,153.0,2020-10-01T00:00:00.000,52784947.0,599,2025-05-08T00:00:00.000,Bridges,Design
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,149.0,2020-01-01T00:00:00.000,134242052.88,423,2023-01-04T00:00:00.000,Wastewater Treatment,Construction
,Central Park Light Infrastructure,1535.0,,2021-03-01T00:00:00.000,-3323649.6,586,,"Parks, Streets and Roadways",
,"GI-OWLS HEAD TRIBUTARY DRAINAGE AREAS, BROOKLYN",396.0,215.0,2022-09-01T00:00:00.000,24278000.0,1200,2027-07-02T00:00:00.000,Streets and Roadways,Design
Queens,Power Distribution at Bowery Bay WWTP,1684.0,0.0,2021-07-01T00:00:00.000,24235381.01,522,2023-01-27T00:00:00.000,Wastewater Treatment,Construction
,150Th St Spine Phase 1 Storm Sewer At Bergen Basin,753.0,126.0,2021-12-01T00:00:00.000,101452000.0,791,2025-11-03T00:00:00.000,Sewers,Design
,East River Esplanade Stabilization and Reconstruction Phase 2,156.0,,2021-12-01T00:00:00.000,0.0,1082,2024-09-23T00:00:00.000,Parks,Design
,Woodhaven Blvd SBS Phase B,15.0,0.0,2022-04-01T00:00:00.000,-20000.0,1210,2028-10-14T00:00:00.000,Streets and Roadways,Design
,Douglaston New Facility,244.0,,2021-03-01T00:00:00.000,5348000.0,960,,Libraries,
Citywide,Revenue Cycle Implementation,1279.0,0.0,2021-07-01T00:00:00.000,0.0,723,2022-12-31T00:00:00.000,"Health and Hospitals, IT",IT
Brooklyn,Brooklyn Supreme Court Fire Alarm System Upgrade,1533.0,105.0,2023-01-01T00:00:00.000,47003000.0,510,2027-01-12T00:00:00.000,Public Safety and Criminal Justice,Design
Bronx,East 180th Street over Metro North Railroad (Harrison Line),664.0,-27.0,2021-12-01T00:00:00.000,4194366.0,811,2023-09-29T00:00:00.000,Bridges,Construction
,"Combined Sewer And Wm Work In 71 Street, Queens",1889.0,1094.0,2019-05-01T00:00:00.000,27172000.0,789,2023-08-29T00:00:00.000,Sewers,Design
,RED HOOK INTEGRATED FLOOD PROTECTION SYSTEM,1172.0,397.0,2023-01-01T00:00:00.000,86623000.0,985,2027-05-01T00:00:00.000,Public Safety and Criminal Justice,Design
Bronx,East 174th Street over Sheridan Expressway - Amtrak,1431.0,,2021-03-01T00:00:00.000,5146882.0,701,,Bridges,
,FUEL TANK & SUMP REPLACEMENTS - BRONX,663.0,,2020-10-01T00:00:00.000,-1834000.0,901,,Industrial Development,
Brooklyn,Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,3253.0,0.0,2019-05-01T00:00:00.000,96724000.0,193,2024-06-04T00:00:00.000,Streets and Roadways,Construction
Brooklyn,Brooklyn Civil Court move to 210 Joralemon St,1977.0,181.0,2020-10-01T00:00:00.000,200931011.96,509,2024-08-01T00:00:00.000,Public Safety and Criminal Justice,Construction Procurement
,"GRAND CONCOURSE, PHASE 5",729.0,,2021-03-01T00:00:00.000,26673000.0,1013,,Streets and Roadways,
,Brooklyn Public School 730 New Construction,730.0,0.0,2019-05-01T00:00:00.000,6379885.0,876,2021-09-03T00:00:00.000,Schools,Construction
Manhattan,2nd Avenue Watermain Trunk Construction,2113.0,0.0,2014-05-01T00:00:00.000,-7266000.0,388,2017-10-13T00:00:00.000,Water Supply,Design
Bronx,Grand Concourse Metro North Railroad Bridge Construction,836.0,0.0,2015-02-01T00:00:00.000,22682117.0,120,2020-05-09T00:00:00.000,Bridges,Design
Upstate,"Gilboa Dam Reconstruction, Phase III",1113.0,101.0,2020-05-01T00:00:00.000,10376533.49,405,2021-10-18T00:00:00.000,Water Supply,Construction
,I.S. 653 - BROOKLYN,0.0,,2022-09-01T00:00:00.000,0.0,1314,2025-09-03T00:00:00.000,Schools,Construction
Manhattan,Carl Schurz Park Promenade over FDR (East 81st to 90th Streets),1571.0,0.0,2019-05-01T00:00:00.000,-197139579.0,537,2025-10-31T00:00:00.000,Bridges,Design
Marlboro,Rondout-West Branch Bypass Tunnel Construction Project 2,256.0,463.0,2015-08-01T00:00:00.000,202552329.25,409,2025-12-05T00:00:00.000,Water Supply,Construction
Citywide,The Reconstruction of The Lower Catskill Aqueduct,1421.0,243.0,2021-12-01T00:00:00.000,-65760729.0,667,2027-11-27T00:00:00.000,Water Supply,Design
,P.S./I.S. @ 3761 10TH AVENUE - Manhattan,0.0,0.0,2022-04-01T00:00:00.000,9539089.0,1222,2024-09-03T00:00:00.000,Schools,Design
,Coney Island Beach Operations HQ at West 25th Street,134.0,0.0,2022-09-01T00:00:00.000,370000.0,1193,2027-03-23T00:00:00.000,Other Government Facilities,Design
,TRENCH RESTORATION BROOKLYN,1467.0,,2020-01-01T00:00:00.000,6536000.0,855,,Industrial Development,
Queens,"STM & SAN SWR, WILLET PT BLVD WHITESTONE AREA, PH2",642.0,,2020-05-01T00:00:00.000,41243000.0,651,,Sewers,
,Studio Museum in Harlem New Building,856.0,0.0,2021-07-01T00:00:00.000,-190000.0,896,2022-11-25T00:00:00.000,Arts and Culture,Construction
Manhattan,West 79th Street over Amtrak and Rotunda Complex Rehabilitation,604.0,,2021-03-01T00:00:00.000,-51088528.0,801,,"Bridges, Streets and Roadways",
,Shore Road Bridge over Hutchinson River,1477.0,0.0,2019-01-01T00:00:00.000,-19049921.84,541,2025-12-17T00:00:00.000,"Bridges, Streets and Roadways",Design
,4Th Ave. Safety Improvements Phase II-Vision Zero,1106.0,127.0,2019-05-01T00:00:00.000,-11525000.0,833,2021-11-03T00:00:00.000,Streets and Roadways,Construction Procurement
Port Jervis,Reconstruction of the Port Jervis Wastewater Treatment Plant,2445.0,0.0,2019-09-01T00:00:00.000,9428438.55,444,2024-08-03T00:00:00.000,Wastewater Treatment,Design
Brooklyn,Beverly Road over Brighton Subway Line,1864.0,1057.0,2020-05-01T00:00:00.000,1279646.0,709,2028-07-11T00:00:00.000,Bridges,Design
Citywide,Catskill Aqueduct Repair and Rehabilitation,1517.0,327.0,2020-10-01T00:00:00.000,9642889.68,478,2022-06-01T00:00:00.000,Water Supply,Construction
Queens,"STM & SAN SWR, N.B. WHITESTONE EXPWY SERV RD, PH 3",684.0,,2020-05-01T00:00:00.000,15468000.0,652,,Sewers,
,Queens Public School 472  New Construction,0.0,0.0,2022-04-01T00:00:00.000,0.0,1099,2025-09-03T00:00:00.000,Schools,Construction
,New Stapleton Waterfront: Phases 2 and 3,913.0,0.0,2021-03-01T00:00:00.000,100733778.0,962,2026-05-01T00:00:00.000,Industrial Development,Design
Bronx,East 156th Street Bridge over Access to Housing,1720.0,90.0,2020-05-01T00:00:00.000,-363846.0,588,2028-08-01T00:00:00.000,"Bridges, Streets and Roadways",Design
Citywide,Electronic Medical Records Upgrade,2032.0,-11.0,2015-08-01T00:00:00.000,15184947.0,403,2018-12-20T00:00:00.000,"Health and Hospitals, IT",IT
,Battery Park Underpass Emergency Relief Betterments,1197.0,,2020-01-01T00:00:00.000,47923308.0,540,,Bridges,Design
Manhattan,Reconstruction of Power Distribution at Wards Island WWTP,1147.0,0.0,2019-09-01T00:00:00.000,33489860.26,453,2025-01-12T00:00:00.000,Wastewater Treatment,Design
Bronx,Pelham Bay Equestrian Park over Amtrak,1029.0,267.0,2020-10-01T00:00:00.000,137997.0,703,2028-04-03T00:00:00.000,Bridges,Design
Bronx,New 40th Precinct,711.0,0.0,2019-05-01T00:00:00.000,26020000.0,634,2021-06-25T00:00:00.000,Public Safety and Criminal Justice,Construction
Bronx,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,1839.0,0.0,2023-01-01T00:00:00.000,25050000.0,623,2026-08-27T00:00:00.000,"Industrial Development, Streets and Roadways",Design
,Storm Sanitary Sewer Repl Springfield Gardens,1097.0,,2020-10-01T00:00:00.000,35414000.0,790,,Sewers,
,Boston Road Bridge Over Hutchinson River Rehabilitation,803.0,0.0,2020-01-01T00:00:00.000,49309814.0,539,2024-05-14T00:00:00.000,"Bridges, Streets and Roadways",Design
,Storm Sanitary Sewer Repl Springfield Gardens,1097.0,115.0,2019-01-01T00:00:00.000,35414000.0,790,2025-01-06T00:00:00.000,Sewers,Design
Queens,49th Avenue Bridge Replacement,1449.0,95.0,2018-03-01T00:00:00.000,32902419.0,131,2023-05-08T00:00:00.000,"Bridges, Streets and Roadways",Design
Manhattan,"West 59th Street Marine Transfer Station Construction, Phase 2",1949.0,,2020-01-01T00:00:00.000,126753576.46,347,,Sanitation,
Staten Island,Oakwood Beach WWTP Sludge Thickening Improvements,3241.0,0.0,2019-01-01T00:00:00.000,57138101.3,449,2023-11-17T00:00:00.000,Wastewater Treatment,Design
Citywide,Emergency Communications Transformation Program (ECTP) Upgrades and Enhancements,2252.0,0.0,2014-05-01T00:00:00.000,73735148.87,267,2017-12-31T00:00:00.000,IT,IT
"Bronx, Manhattan",Broadway Bridge over Harlem River Replacement,2797.0,1521.0,2021-07-01T00:00:00.000,39724388.0,106,2027-04-02T00:00:00.000,Bridges,Construction
Brooklyn,Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,3253.0,137.0,2014-01-01T00:00:00.000,96724000.0,193,2015-11-23T00:00:00.000,Streets and Roadways,Design
Bronx,Concourse Village Avenue over Metro North,1865.0,0.0,2019-01-01T00:00:00.000,-186092.37,587,2024-08-20T00:00:00.000,Bridges,Design
Citywide,Electronic Medical Records Upgrade,2032.0,0.0,2023-01-01T00:00:00.000,15184947.0,403,2023-12-31T00:00:00.000,"Health and Hospitals, IT",IT
Bronx,East 156th Street Bridge over Access to Housing,1720.0,0.0,2017-09-01T00:00:00.000,-363846.0,588,2024-09-05T00:00:00.000,"Bridges, Streets and Roadways",Design
,Sewer When & Where Contract In S.E. Queens,1834.0,,2021-03-01T00:00:00.000,7404000.0,793,,Sewers,
,RECONSTRUCTION OF QUEENS BLVD - PHASE 3,0.0,,2021-07-01T00:00:00.000,0.0,1152,,Streets and Roadways,Design
Upstate,"Gilboa Dam Reconstruction, Phase IV",1684.0,84.0,2021-03-01T00:00:00.000,33535991.2,406,2022-02-16T00:00:00.000,Water Supply,Construction
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,1.0,2021-12-01T00:00:00.000,134242052.88,423,2023-03-03T00:00:00.000,Wastewater Treatment,Construction
Manhattan,2nd Avenue Watermain Trunk Construction,2113.0,0.0,2019-05-01T00:00:00.000,-7266000.0,388,2021-06-02T00:00:00.000,Water Supply,Construction
Bronx,Pelham Parkway Bridge Reconstruction over Hutchinson Parkway,1934.0,110.0,2020-05-01T00:00:00.000,10338071.57,506,2027-06-21T00:00:00.000,"Bridges, Streets and Roadways",Design
Manhattan,253 Broadway Landmark's Space Renovations,1696.0,,2020-10-01T00:00:00.000,35010000.0,639,,Other Government Facilities,
,Manhattan Greenway: East Midtown,487.0,,2018-08-01T00:00:00.000,24840000.0,859,2022-08-31T00:00:00.000,Parks,Design
,"Combined Sewer In 70Th Street, Queens",1155.0,0.0,2019-09-01T00:00:00.000,94201000.0,788,2023-08-10T00:00:00.000,Sewers,Construction
Upstate,Reconstruction of the Ashokan Headworks,-67.0,-1519.0,2021-12-01T00:00:00.000,41950858.0,834,2027-10-24T00:00:00.000,Water Supply,Design
,Reconstruct Main Sewage Pump Controls at Port Richmond WWTP,516.0,71.0,2020-10-01T00:00:00.000,26923720.62,948,2025-11-25T00:00:00.000,Wastewater Treatment,Design
,Reconstruction Of Trinity Pl,730.0,,2021-03-01T00:00:00.000,13224000.0,755,,Streets and Roadways,
Brooklyn,"Coney Island Area, Phase 3A",1215.0,,2020-10-01T00:00:00.000,25273000.0,516,,Industrial Development,
"Bronx, Manhattan",Broadway Bridge over Harlem River Replacement,2797.0,,2013-09-01T00:00:00.000,39724388.0,106,2019-08-05T00:00:00.000,Bridges,Design
,"NEW 48"" TRUNK WATER MAIN IN E 233 STREET",1796.0,,2021-03-01T00:00:00.000,1077000.0,998,,Water Supply,
,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,1630.0,-366.0,2021-12-01T00:00:00.000,14480000.0,847,2028-02-29T00:00:00.000,Streets and Roadways,Design
Queens,Rehab Of Queens District 11/13 Sanitation Garage,1521.0,201.0,2023-01-01T00:00:00.000,36221000.0,770,2026-12-30T00:00:00.000,Sanitation,Design
,"Grand Concourse Reconstruction, Phase 4 (Great Streets)",1448.0,,2020-10-01T00:00:00.000,57634000.0,476,,Streets and Roadways,
,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321",972.0,365.0,2021-07-01T00:00:00.000,6730000.0,845,2025-07-14T00:00:00.000,Streets and Roadways,Design
Queens,"STM & SAN SWR, N.B. WHITESTONE EXPWY SERV RD, PH 3",684.0,0.0,2022-09-01T00:00:00.000,15468000.0,652,2024-08-21T00:00:00.000,Sewers,Construction
,Sewer When & Where Contract In S.E. Queens,1834.0,122.0,2022-04-01T00:00:00.000,7404000.0,793,2025-08-22T00:00:00.000,Sewers,Design
Upstate,"Gilboa Dam Reconstruction, Phase IV",1684.0,90.0,2022-09-01T00:00:00.000,33535991.2,406,2022-11-27T00:00:00.000,Water Supply,Construction
Marlboro,Rondout-West Branch Bypass Tunnel Construction Project 2,256.0,0.0,2019-09-01T00:00:00.000,202552329.25,409,2025-12-06T00:00:00.000,Water Supply,Construction
Upstate,"Gilboa Dam Reconstruction, Phase IV",1684.0,120.0,2023-01-01T00:00:00.000,33535991.2,406,2023-03-27T00:00:00.000,Water Supply,Construction
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,80.0,2015-08-01T00:00:00.000,117177000.0,432,2018-04-02T00:00:00.000,Sewers,Construction Procurement
Queens,Metropolitan Avenue Bridge over CSX Transport,2027.0,0.0,2021-12-01T00:00:00.000,4699394.0,556,2028-12-29T00:00:00.000,"Bridges, Streets and Roadways",Design
Bronx,Replacement of The Digester at The Hunts Point WWTP,1355.0,87.0,2022-04-01T00:00:00.000,72852004.14,580,2026-04-04T00:00:00.000,Wastewater Treatment,Construction
,Supreme Courthouse Fire Alarm/ Protection Upgrade,1319.0,,2020-05-01T00:00:00.000,37248610.0,837,,Public Safety and Criminal Justice,
Citywide,Revenue Cycle Implementation,1279.0,,2018-03-01T00:00:00.000,0.0,723,2020-06-30T00:00:00.000,"Health and Hospitals, IT",IT
,HILL DR (TERRACE BR) OVER PROSPECT PARK LAKE BIN 2244120,636.0,163.0,2021-12-01T00:00:00.000,-785268.0,1073,2028-05-25T00:00:00.000,Bridges,Design
,4Th Ave. Safety Improvements Phase II-Vision Zero,1106.0,,2020-10-01T00:00:00.000,-11525000.0,833,,Streets and Roadways,
,Rego Park New Facility,474.0,0.0,2022-04-01T00:00:00.000,535000.0,1145,2026-03-07T00:00:00.000,Other Government Facilities,Design
Queens,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,1906.0,187.0,2019-05-01T00:00:00.000,176245000.0,618,2025-06-03T00:00:00.000,Industrial Development,Design
Brooklyn,Sunset Park Infrastructure,1290.0,182.0,2018-08-01T00:00:00.000,31633941.69,574,2021-11-28T00:00:00.000,Industrial Development,Design
,"Reconstruction Of Arthur Kill Road, Phase I",1415.0,-488.0,2019-05-01T00:00:00.000,22503000.0,741,2023-10-31T00:00:00.000,Streets and Roadways,Design
Queens,Edgewood Triangle Roadway Reconstruction,3597.0,304.0,2016-11-01T00:00:00.000,106503000.0,204,2020-07-25T00:00:00.000,Streets and Roadways,Design
,New 116Th Pct,727.0,0.0,2021-12-01T00:00:00.000,33852900.86,762,2023-12-30T00:00:00.000,Public Safety and Criminal Justice,Construction
Bronx,"Pelham Parkway Roadway Reconstruction, Phase 2",2869.0,10.0,2019-05-01T00:00:00.000,125164000.0,180,2023-03-31T00:00:00.000,Streets and Roadways,Construction
Bronx,East 174th Street over Sheridan Expressway - Amtrak,1431.0,67.0,2023-01-01T00:00:00.000,5146882.0,701,2029-12-17T00:00:00.000,Bridges,Design
,New York State Pavilion Observation Towers Reconstruction,772.0,,2020-01-01T00:00:00.000,1000.0,1018,2021-04-20T00:00:00.000,Parks,Construction
Manhattan,West 79th Street over Amtrak and Rotunda Complex Rehabilitation,604.0,177.0,2019-01-01T00:00:00.000,-51088528.0,801,2024-04-16T00:00:00.000,"Bridges, Streets and Roadways",Design
,Cunningham Park Garage Reconstruction,703.0,,2020-05-01T00:00:00.000,0.0,1019,2023-02-24T00:00:00.000,Parks,Design
Queens,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,1906.0,,2020-10-01T00:00:00.000,176245000.0,618,,Industrial Development,
,CITYWIDE RESILENCY MEASURES-Lower Manhattan Two Bridges,161.0,133.0,2022-04-01T00:00:00.000,34901000.0,1187,2026-09-24T00:00:00.000,Streets and Roadways,Construction Procurement
,Far Rockaway New Facility,-78.0,118.0,2023-01-01T00:00:00.000,-623757.91,730,2023-05-30T00:00:00.000,Other Government Facilities,Construction
Bronx,East 156th Street Bridge over Access to Housing,1720.0,-601.0,2021-07-01T00:00:00.000,-363846.0,588,2027-09-07T00:00:00.000,"Bridges, Streets and Roadways",Design
,Shore Road Bridge over Hutchinson River,1477.0,0.0,2021-12-01T00:00:00.000,-19049921.84,541,2029-03-31T00:00:00.000,"Bridges, Streets and Roadways",Design
,FUEL TANK & SUMP REPLACEMENTS - MANHATTAN/S.I.,663.0,,2020-05-01T00:00:00.000,-1754000.0,900,,Industrial Development,
Citywide,Electronic Medical Records Upgrade,2032.0,0.0,2016-11-01T00:00:00.000,15184947.0,403,2018-12-07T00:00:00.000,"Health and Hospitals, IT",IT
,"Fort Greene Park Entrances, Paths, Plaza and Drainage Infrastructure Reconstruction",417.0,,2022-04-01T00:00:00.000,0.0,1218,2024-11-23T00:00:00.000,Parks,Design
,Brooklyn P.S. at 4302 4TH AVE,365.0,0.0,2022-09-01T00:00:00.000,-221356.0,949,2023-09-03T00:00:00.000,Schools,Construction
,"SAN & STRM SEWER, WM IN CONEY ISLAND AREA, PH 4",1431.0,366.0,2023-01-01T00:00:00.000,1984000.0,1009,2028-07-10T00:00:00.000,Sewers,Design
,New York State Pavilion Observation Towers Reconstruction,772.0,0.0,2023-01-01T00:00:00.000,1000.0,1018,2023-06-01T00:00:00.000,Parks,Construction
,Coastal Resiliency Area 1 - East 23Rd St. To Montg,836.0,-761.0,2019-01-01T00:00:00.000,-418193636.37,773,2023-03-31T00:00:00.000,"Industrial Development, Parks",Design
Queens,"STM & SAN SWR, WILLET PT BLVD WHITESTONE AREA, PH2",642.0,0.0,2022-04-01T00:00:00.000,41243000.0,651,2022-09-15T00:00:00.000,Sewers,Construction
,SOUTH BROOKLYN CROSSTOWN SBS,819.0,,2021-03-01T00:00:00.000,29789000.0,843,,Industrial Development,
Queens,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,1891.0,0.0,2020-01-01T00:00:00.000,-4338327.57,313,2024-01-14T00:00:00.000,Wastewater Treatment,Design
Queens,49th Avenue Bridge Replacement,1449.0,173.0,2019-05-01T00:00:00.000,32902419.0,131,2024-07-13T00:00:00.000,"Bridges, Streets and Roadways",Design
Queens,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,2003.0,-20.0,2017-04-01T00:00:00.000,23798213.0,101,2019-05-07T00:00:00.000,Bridges,Construction
,Comprehensive Renovation and Expansion,428.0,238.0,2022-09-01T00:00:00.000,-15454000.0,1182,2026-09-07T00:00:00.000,Other Government Facilities,Design
,Hansborough Recreation Center Reconstruction,186.0,,2021-12-01T00:00:00.000,-4700000.0,1090,,Parks,Design
Queens,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,2003.0,0.0,2023-01-01T00:00:00.000,23798213.0,101,2023-08-07T00:00:00.000,Bridges,Construction
,Bush Terminal Development Site Preparation,517.0,182.0,2021-12-01T00:00:00.000,0.0,1086,2024-06-30T00:00:00.000,Industrial Development,Design
,Nuyorican Poets Cafe Renovation,128.0,,2021-12-01T00:00:00.000,480000.0,1247,2025-10-20T00:00:00.000,Other Government Facilities,Design
Brooklyn,Brooklyn Supreme Court Fire Alarm System Upgrade,1533.0,,2020-01-01T00:00:00.000,47003000.0,510,,Public Safety and Criminal Justice,
,150Th St Spine Phase 1 Storm Sewer At Bergen Basin,753.0,319.0,2021-07-01T00:00:00.000,101452000.0,791,2025-06-30T00:00:00.000,Sewers,Design
City of Yonkers,Hillview Reservoir Flow Control Improvements,254.0,154.0,2021-12-01T00:00:00.000,-11397050.18,670,2032-06-05T00:00:00.000,Water Supply,Design
Port Jervis,Reconstruction of the Port Jervis Wastewater Treatment Plant,2445.0,238.0,2017-09-01T00:00:00.000,9428438.55,444,2021-11-19T00:00:00.000,Wastewater Treatment,Construction Procurement
,BROAD CHANNEL BULKHEADS - PH II,-74.0,,2020-01-01T00:00:00.000,61781000.0,617,,Industrial Development,
,Accessible Pedestrian Signals,,,2023-01-01T00:00:00.000,-3567000.0,1317,,Streets and Roadways,Construction Procurement
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,720.0,2021-07-01T00:00:00.000,117177000.0,432,2023-06-19T00:00:00.000,Sewers,Construction
,Coney Island Beach Operations HQ at West 25th Street,134.0,,2021-07-01T00:00:00.000,370000.0,1193,2026-12-04T00:00:00.000,Other Government Facilities,Design
Bronx,Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,1592.0,-305.0,2015-02-01T00:00:00.000,20945057.0,112,2019-07-01T00:00:00.000,"Bridges, Streets and Roadways",Design
,"Grand Concourse Reconstruction, Phase 4 (Great Streets)",1448.0,1361.0,2018-03-01T00:00:00.000,57634000.0,476,2023-08-14T00:00:00.000,Streets and Roadways,Design
,Studio Museum in Harlem New Building,856.0,583.0,2021-12-01T00:00:00.000,-190000.0,896,2024-06-30T00:00:00.000,Arts and Culture,Construction
Marlboro,Rondout-West Branch Bypass Tunnel Construction Project 2,256.0,120.0,2015-02-01T00:00:00.000,202552329.25,409,2024-08-29T00:00:00.000,Water Supply,Design
,GATEWAY ESTATE - PHASE E/BED-805,584.0,457.0,2022-04-01T00:00:00.000,38077000.0,1201,2023-09-30T00:00:00.000,Streets and Roadways,Construction
Queens,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,1906.0,673.0,2021-07-01T00:00:00.000,176245000.0,618,2028-03-04T00:00:00.000,Industrial Development,Design
,Hansborough Recreation Center Reconstruction,186.0,0.0,2023-01-01T00:00:00.000,-4700000.0,1090,2025-08-27T00:00:00.000,Parks,Construction Procurement
,Headworks Improvements at Tallman Island,586.0,61.0,2019-05-01T00:00:00.000,19975649.96,906,2025-03-07T00:00:00.000,Industrial Development,Design
,Manhattan Greenway: Harlem River,888.0,76.0,2020-01-01T00:00:00.000,0.0,860,2024-06-30T00:00:00.000,Parks,Design
Brooklyn,Flatbush Avenue Trunk Watermain Replacement,2266.0,659.0,2017-09-01T00:00:00.000,39272000.0,370,2021-04-20T00:00:00.000,Wastewater Treatment,Construction
Queens,Power Distribution at Bowery Bay WWTP,1684.0,219.0,2018-08-01T00:00:00.000,24235381.01,522,2022-03-14T00:00:00.000,Wastewater Treatment,Construction Procurement
,Far Rockaway New Facility,-78.0,138.0,2021-12-01T00:00:00.000,-623757.91,730,2022-05-16T00:00:00.000,Other Government Facilities,Construction
,Storm Mitigation Loan Program at Hunts Point,1091.0,0.0,2021-07-01T00:00:00.000,20080597.79,672,2023-02-17T00:00:00.000,Wastewater Treatment,Construction
Bronx,New 40th Precinct,711.0,,2020-05-01T00:00:00.000,26020000.0,634,,Public Safety and Criminal Justice,
Bronx,New 40th Precinct,711.0,,2020-10-01T00:00:00.000,26020000.0,634,,Public Safety and Criminal Justice,
Staten Island,CONSTRUCTION OF BMPs NC 6 AND 15 - SI,925.0,,2022-04-01T00:00:00.000,1921000.0,631,,Industrial Development,
,Boston Road Bridge Over Hutchinson River Rehabilitation,803.0,72.0,2018-08-01T00:00:00.000,49309814.0,539,2024-05-15T00:00:00.000,"Bridges, Streets and Roadways",Design
,Fort Totten Infrastructure Upgrade,318.0,0.0,2022-04-01T00:00:00.000,100000.0,1154,2025-10-13T00:00:00.000,Other Government Facilities,Design
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,196.0,2015-02-01T00:00:00.000,117177000.0,432,2018-01-12T00:00:00.000,Sewers,Design
,Park Avenue Tunnel (Murray Hill),1568.0,272.0,2022-09-01T00:00:00.000,-17773389.61,536,2023-05-02T00:00:00.000,Bridges,Construction
,Queensboro Bridge Roadway Replacement over East River,1970.0,,2021-03-01T00:00:00.000,8567339.67,594,,"Bridges, Streets and Roadways",
,New York State Pavilion Observation Towers Reconstruction,772.0,91.0,2020-05-01T00:00:00.000,1000.0,1018,2021-07-20T00:00:00.000,Parks,Construction
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,,2021-03-01T00:00:00.000,75370000.0,665,,Other Government Facilities,
Bronx,Jerome Reservoir and Aqueduct Rehabilitation,2363.0,132.0,2019-01-01T00:00:00.000,-833277.14,448,2022-04-14T00:00:00.000,Water Supply,Design
Manhattan,Harlem River Drive Ramp Reconstruction (George Washington Bridge),2697.0,293.0,2020-10-01T00:00:00.000,-3711870.0,708,2029-02-05T00:00:00.000,"Bridges, Streets and Roadways",Design
Manhattan,Riverside Drive/West 158th Street Bridge Rehabilitation,2152.0,0.0,2017-04-01T00:00:00.000,96922794.0,113,2021-12-17T00:00:00.000,"Bridges, Streets and Roadways",Design
Manhattan,Carl Schurz Park Promenade over FDR (East 81st to 90th Streets),1571.0,,2020-01-01T00:00:00.000,-197139579.0,537,,Bridges,Design
,Grand Street Bridge over Newtown Creek,1645.0,101.0,2022-04-01T00:00:00.000,160682490.0,534,2030-01-16T00:00:00.000,"Bridges, Streets and Roadways",Design
,"Reconstruction Of Arthur Kill Road, Phase I",1415.0,0.0,2022-04-01T00:00:00.000,22503000.0,741,2025-10-30T00:00:00.000,Streets and Roadways,Design
Queens,Edgewood Triangle Roadway Reconstruction,3597.0,86.0,2023-01-01T00:00:00.000,106503000.0,204,2028-08-15T00:00:00.000,Streets and Roadways,Design
,Brooklyn Public School 322  New Construction,0.0,0.0,2022-09-01T00:00:00.000,0.0,1104,2024-09-03T00:00:00.000,Schools,Construction
,Flushing Meadows Corona Park Aquatic Center Roof Reconstruction,,,2022-09-01T00:00:00.000,0.0,1280,,Parks,Design
Bronx,Jerome Reservoir and Aqueduct Rehabilitation,2363.0,0.0,2021-12-01T00:00:00.000,-833277.14,448,2026-12-29T00:00:00.000,Water Supply,Construction
,"Ped Safety Upgrades on Atlantic Avenue, Phase 2",1400.0,,2020-01-01T00:00:00.000,10136496.0,519,,Streets and Roadways,
,Flushing Meadows Corona Park World's Fair Marina Reconstruction (Hurricane Sandy),708.0,0.0,2021-07-01T00:00:00.000,4947362.68,1031,2024-10-27T00:00:00.000,Parks,Design
,Central Park Light Infrastructure,1535.0,,2020-01-01T00:00:00.000,-3323649.6,586,,"Parks, Streets and Roadways",Construction
,HILL DR (TERRACE BR) OVER PROSPECT PARK LAKE BIN 2244120,636.0,88.0,2023-01-01T00:00:00.000,-785268.0,1073,2029-03-04T00:00:00.000,Bridges,Design
Brooklyn,Bergen Avenue Street Reconstruction,-388.0,153.0,2017-09-01T00:00:00.000,45837000.0,170,2027-07-15T00:00:00.000,Streets and Roadways,Design
Queens,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,2003.0,301.0,2014-01-01T00:00:00.000,23798213.0,101,2018-12-09T00:00:00.000,Bridges,Design
