#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.Director,ltable.Title,ltable.Year,rtable.Director,rtable.Title,rtable.Year,gold
240,2002,1767,Mike Binder,The Upside of Anger,4/1/2005,Mike Binder,The Upside of Anger,3/11/2005,1
241,2026,2154,Steve Pink,Accepted,8/18/2006,Steve Carr,Are We Done Yet?,4/4/2007,0
242,2042,1802,Mel Gibson,Apocalypto,12/8/2006,Mel Gibson,Apocalypto,12/8/2006,1
243,2056,1814,Brian Pimental,Bambi II,1/26/2006,Jim Ballantine,Bambi II,1/1/2006,1
244,2074,2174,Edward Zwick,Blood Diamond,12/8/2006,Sid Haig,Brotherhood of Blood,10/11/2007,0
245,2078,2093,Larry Charles,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,11/3/2006,Geoffrey Sax,Alex Rider: Operation Stormbreaker,10/13/2006,0
246,2087,1843,Martin Campbell,Casino Royale,11/17/2006,Martin Campbell,Casino Royale,11/17/2006,1
247,2098,1849,Kevin Smith,Clerks II,7/21/2006,Kevin Smith,Clerks II,7/21/2006,1
248,2098,2635,Kevin Smith,Clerks II,7/21/2006,,Plus One - The Home Video,,0
249,2104,1855,Bruce Beresford,The Contract,4/5/2007,Bruce Beresford,The Contract,10/9/2006,1
250,2117,1868,Craig Singer,Dark Ride,10/20/2006,Craig Singer,Dark Ride,11/17/2006,1
251,2126,1875,John Whitesell,Deck the Halls,11/22/2006,John Whitesell,Deck the Halls,11/22/2006,1
252,2131,1880,Katherine Dieckmann,Diggers,4/14/2007,Katherine Dieckmann,Diggers,4/14/2007,1
253,2136,1883,Bill Condon,Dreamgirls,12/25/2006,Bill Condon,Dreamgirls,12/25/2006,1
254,2158,1966,James Wong,Final Destination 3,2/10/2006,Mary Jordan,Jack Smith and the Destruction of Atlantis,4/26/2006,0
255,2168,1280,BJ Davis,Forget About It,10/14/2006,John Davis,Jimmy Neutron - Boy Genius,12/21/2001,0
256,2178,2635,Carl Colpaert,G.I. Jesus,9/30/2006,,Plus One - The Home Video,,0
257,2187,62,,The Great Warming,3/3/2006,Tony Gilroy,The Bourne Legacy,8/10/2012,0
258,2187,74,,The Great Warming,3/3/2006,Jay Roach,The Campaign,8/10/2012,0
259,2187,104,,The Great Warming,3/3/2006,Damian Lee,The Truth (A Dark Truth),1/4/2013,0
260,2187,279,,The Great Warming,3/3/2006,Chris D'Arienzo,Barry Munday,10/1/2010,0
261,2187,432,,The Great Warming,3/3/2006,Ben Affleck,The Town,9/17/2010,0
262,2187,474,,The Great Warming,3/3/2006,David Frankel,The Big Year,10/14/2011,0
263,2187,477,,The Great Warming,3/3/2006,Jaime Zevallos,Me You and Five Bucks,9/25/2015,0
264,2187,483,,The Great Warming,3/3/2006,Marcus Nispel,Conan the Barbarian,8/19/2011,0
265,2187,582,,The Great Warming,3/3/2006,Michael Pavone,The Reunion,10/21/2011,0
266,2187,669,,The Great Warming,3/3/2006,Xavier Palud,The Eye,2/1/2008,0
267,2187,775,,The Great Warming,3/3/2006,Jon M. Chu,Step Up 2 the Streets,2/14/2008,0
268,2187,794,,The Great Warming,3/3/2006,Jonathan Levine,The Wackness,7/3/2008,0
269,2187,993,,The Great Warming,3/3/2006,Ben Chace,Wah Do Dem,6/18/2010,0
270,2187,1007,,The Great Warming,3/3/2006,D.J. Pooh,3 Strikes,3/1/2000,0
271,2187,1086,,The Great Warming,3/3/2006,Alan Jacobs,Just One Night,,0
272,2187,1161,,The Great Warming,3/3/2006,Clint Eastwood,Space Cowboys,8/4/2000,0
273,2187,1398,,The Great Warming,3/3/2006,Ricky Schroder,Black Cloud,3/11/2005,0
274,2187,1487,,The Great Warming,3/3/2006,Jonathan Demme,The Manchurian Candidate,7/30/2004,0
275,2187,1775,,The Great Warming,3/3/2006,Clare Kilner,The Wedding Date,2/4/2005,0
276,2187,1810,,The Great Warming,3/3/2006,Chris Robinson (IV),ATL,3/31/2006,0
277,2187,1902,,The Great Warming,3/3/2006,Theo Avgerinos,Fifty Pills,4/26/2006,0
278,2187,2259,,The Great Warming,3/3/2006,Jeff Glickman,Killing Zelda Sparks,8/28/2007,0
279,2187,2269,,The Great Warming,3/3/2006,Ken Kwapis,License to Wed,7/3/2007,0
280,2187,2312,,The Great Warming,3/3/2006,Christopher Zalla,Padre Nuestro,5/16/2008,0
281,2187,2340,,The Great Warming,3/3/2006,Evan Somers,The Seeker,5/7/2005,0
282,2187,2359,,The Great Warming,3/3/2006,Jon Artigo,Still Green,5/15/2009,0
283,2187,2403,,The Great Warming,3/3/2006,Tomer Almagor,9 Full Moons,11/7/2014,0
284,2187,2661,,The Great Warming,3/3/2006,Ben Stiller,The Secret Life Of Walter Mitty,12/25/2013,0
285,2187,2718,,The Great Warming,3/3/2006,Daniel Cockburn,You Are Here,5/11/2012,0
286,2187,2730,,The Great Warming,3/3/2006,Harold Ramis,Analyze This,3/5/1999,0
287,2187,2816,,The Great Warming,3/3/2006,Frank Whaley,Joe the King,10/15/1999,0
288,2187,2983,,The Great Warming,3/3/2006,Alfonso Cuarn,Great Expectations,1/30/1998,0
289,2188,1928,Phil Joanou,Gridiron Gang,9/15/2006,Phil Joanou,Gridiron Gang,9/15/2006,1
290,2211,1950,Bob Dolman,How to Eat Fried Worms,8/25/2006,Bob Dolman,How to Eat Fried Worms,8/25/2006,1
291,2228,1595,Mary Jordan,Jack Smith and the Destruction of Atlantis,4/26/2006,Rebecca Miller,The Ballad of Jack and Rose,3/25/2005,0
292,2231,1968,Randall Rubin,Jimmy and Judy,2/5/2006,Randall Rubin,Jimmy and Judy,9/15/2006,1
293,2240,1976,M. Night Shyamalan,Lady in the Water,7/21/2006,M. Night Shyamalan,Lady in the Water,7/21/2006,1
294,2241,2635,Alejandro Agresti,The Lake House,6/16/2006,,Plus One - The Home Video,,0
295,2255,381,George Gallo,Local Color,8/15/2009,George Gallo,Middle Men,8/6/2010,0
296,2259,1994,Chris Fuller,Loren Cass,8/25/2006,Chris Fuller,Loren Cass,8/25/2006,1
297,2263,923,Tyler Perry,Madea's Family Reunion,2/24/2006,Tyler Perry,Madea Goes to Jail,2/20/2009,0
298,2281,1987,John Woo,Mission: Impossible II,5/24/2000,Jonathan Dayton,Little Miss Sunshine,7/26/2006,0
299,2282,992,Ivan Reitman,My Super Ex-Girlfriend,7/21/2006,Jason Reitman,Up in the Air,12/4/2009,0
300,2285,787,Catherine Hardwicke,The Nativity Story,12/1/2006,Catherine Hardwicke,Twilight,11/21/2008,0
301,2293,2635,Ã‰lie Chouraqui,O Jerusalem,10/18/2006,,Plus One - The Home Video,,0
302,2297,2635,Richard Donner,The Omen,6/25/1976,,Plus One - The Home Video,,0
303,2303,1456,Guillermo del Toro,Pan's Labyrinth,1/19/2007,Guillermo del Toro,Hellboy II: The Golden Army (Hellboy 2),6/28/2008,0
304,2323,36,Will VÃ¡zquez,Quick Pick,4/19/2006,,Barbie In A Mermaid Tale 2,2/4/2012,0
305,2345,2393,David Zucker,Scary Movie 4,4/14/2006,David Fincher,Zodiac,3/2/2007,0
306,2350,2069,Zach C. Gray,Secret of the Cave,10/19/2006,Zach C. Gray,Secret of the Cave,9/1/2007,1
307,2350,2430,Zach C. Gray,Secret of the Cave,10/19/2006,Samantha Buck,Best Kept Secret,9/6/2013,0
308,2352,1617,Clark Johnson,The Sentinel,4/21/2006,Mike Johnson,Tim Burton's Corpse Bride,9/16/2005,0
309,2362,2080,James Gunn,Slither,3/31/2006,James Gunn,Slither,3/31/2006,1
310,2378,1546,Karen Hyden,Strawberry Shortcake: The Sweet Dreams Movie,9/4/2006,Sherm Cohen,The Spongebob Squarepants Movie,11/19/2004,0
311,2385,1447,Adam McKay,Talladega Nights: The Ballad of Ricky Bobby,8/4/2006,Peter Berg,Friday Night Lights,10/8/2004,0
312,2387,1903,Liam Lynch,Tenacious D in The Pick of Destiny,11/22/2006,Morgan,Final Destination 3,2/10/2006,0
313,2400,2111,Chris Chan Lee,Undoing,12/5/2007,Chris Chan Lee,Undoing,6/24/2006,1
314,2424,2131,Peter Hewitt,Zoom,8/11/2006,Peter Hewitt,Zoom,8/11/2006,1
315,2428,2215,Christian Charles,Full of It,6/13/2008,Christian Charles,Full of It,3/2/2007,1
316,2430,2217,Pearry Reginald Teo,The Gene Generation,9/27/2007,Pearry Reginald Teo,The Gene Generation,9/27/2007,1
317,2445,638,Adam Shankman,Hairspray,7/20/2007,Adam Shankman,Bedtime Stories,12/25/2008,0
318,2449,3050,David Yates,Harry Potter and the Order of the Phoenix,7/11/2007,David Yates,Harry Potter and the Order of the Phoenix,7/11/2007,1
319,2460,693,Richard Shepard,The Hunting Party,9/21/2007,Mickey Liddell,The Haunting of Molly Hartley,10/31/2008,0
320,2463,2247,Amy Heckerling,I Could Never Be Your Woman,5/11/2007,Amy Heckerling,I Could Never Be Your Woman,5/11/2007,1
321,2474,2257,George Ratliff,Joshua,7/13/2007,George Ratliff,Joshua,6/16/2007,1
322,2487,2267,Robert Shaye,The Last Mimzy,3/23/2007,Robert Shaye,The Last Mimzy,3/18/2007,1
323,2502,2281,Stephen J. Anderson,Meet the Robinsons,3/30/2007,Steve Anderson (V),Meet the Robinsons,3/30/2007,1
324,2506,2286,Harmony Korine,Mister Lonely,3/14/2008,Harmony Korine,Mister Lonely,5/22/2007,1
325,2513,2290,Craig Gillespie,Mr. Woodcock,9/14/2007,Craig Gillespie,Mr. Woodcock,9/14/2007,1
326,2515,2635,Marc Lawrence,Music and Lyrics,2/14/2007,,Plus One - The Home Video,,0
327,2518,2295,Andrew Fleming,Nancy Drew,6/15/2007,Andrew Fleming,Nancy Drew,6/15/2007,1
328,2522,2298,Dean Matthew Ronalds,Netherbeast Incorporated,3/30/2007,Dean Matthew Ronalds,Netherbeast Incorporated,3/30/2007,1
329,2524,2553,Ethan Coen,No Country for Old Men,11/21/2007,Ethan Coen,Inside Llewyn Davis,12/6/2013,0
330,2536,896,Richard LaGravenese,P.S. I Love You,12/21/2007,Chris Columbus,I Love You Beth Cooper,7/10/2009,0
331,2544,2318,Vincent Paronnaud,Persepolis,2/22/2008,Marjane Satrapi,Persepolis,12/25/2007,0
332,2552,1251,Rob Cohen,The Fast and the Furious,6/22/2001,Rob Cohen,The Fast and the Furious,6/22/2001,1
333,2554,2328,Jess Manafort,Remember the Daze,6/1/2007,Jess Manafort,Remember the Daze,4/11/2008,1
334,2560,2334,Jeffrey Blitz,Rocket Science,9/28/2007,Jeff Blitz,Rocket Science,8/10/2007,1
335,2572,2635,Chris Miller,Shrek the Third,5/18/2007,,Plus One - The Home Video,,0
336,2582,2355,Sam Raimi,Spider-Man 3,5/4/2007,Sam Raimi,Spider-Man 3,5/4/2007,1
337,2590,2363,Marc Klein,Suburban Girl,10/1/2007,Marc Klein,Suburban Girl,4/27/2007,1
338,2592,1824,Danny Boyle,Sunshine,7/27/2007,Dave Boyle,Big Dreams Little Tokyo,11/2/2006,0
339,2598,2370,David Wain,The Ten,8/21/2008,David Wain,The Ten,1/18/2007,1
340,2609,2380,M. dot Strange,We Are the Strange,1/1/2007,M dot Strange,We Are the Strange,1/19/2007,1
341,2614,2382,Stewart Hendler,Whisper,5/16/2007,Stewart Hendler,Whisper,11/27/2007,1
342,2630,2399,Michelle Schumacher,3 Geezers!,5/22/2013,Michelle Schumacher,3 Geezers!,5/22/2013,1
343,2634,2403,Tomer Almagor,9 Full Moons,11/14/2014,Tomer Almagor,9 Full Moons,11/7/2014,1
344,2636,2406,Paul Weitz,Admission,3/22/2013,Paul Weitz,Admission,3/22/2013,1
345,2641,2411,Ray Bengston,Alone Yet Not Alone,9/27/2013,Ray Bengston,Alone Yet Not Alone,4/5/2013,1
346,2654,2428,Ben Ketai,Beneath,7/25/2014,Dagen Merrill,Beneath,8/7/2007,0
347,2656,2424,Barry Battles,The Baytown Outlaws,6/15/2013,Barry Battles,The Baytown Outlaws,1/11/2013,1
348,2660,2055,Samantha Buck,Best Kept Secret,5/4/2013,Mark McNabb,Billy Owens and the Secret of the Runes,,0
349,2671,2442,Jeremy Saulnier,Blue Ruin,7/9/2014,Jeremy Saulnier,Blue Ruin,4/25/2014,1
350,2675,2446,Ramaa Mosley,The Brass Teapot,4/15/2013,Ramaa Mosley,The Brass Teapot,4/5/2013,1
351,2694,2461,Dean Jones,Coffin Baby,8/4/2015,Dean Jones,Coffin Baby,,1
352,2699,1320,James Wan,The Conjuring,7/19/2013,James Wong,The One,11/2/2001,0
353,2708,2475,Scott Stewart,Dark Skies,2/22/2013,Scott Stewart,Dark Skies,2/22/2013,1
354,2727,1613,Arie Posin,The Face of Love,10/25/2013,Arie Posin,The Chumscrubber,8/5/2005,0
355,2735,2500,Andrew Weiner,The Frankenstein Theory,3/1/2013,Andrew Weiner,The Frankenstein Theory,3/1/2013,1
356,2748,1039,Roman Coppola,A Glimpse Inside the Mind of Charles Swan III,3/14/2013,Francine McDougall,Behind the Camera: The Unauthorized Story of 'Charlie's Angels',,0
357,2759,2522,Todd Phillips,The Hangover Part III,5/23/2013,Todd Phillips,The Hangover Part III,5/23/2013,1
358,2765,2527,Liza Johnson,Hateship Loveship,6/12/2014,Liza Johnson,Hateship Loveship,4/11/2014,1
359,2768,2054,Michael Urie,He's Way More Famous Than You,5/10/2013,Michael Hurst,Room 6,9/25/2006,0
360,2779,2539,A.D. Calvo,House of Dust,11/1/2013,A.D. Calvo,House of Dust,,1
361,2780,2635,Therese Shechter,How to Lose Your Virginity,11/15/2013,,Plus One - The Home Video,,0
362,2785,2543,Lawrence Shapiro,I Know That Voice,11/6/2013,Lawrence Shapiro,I Know That Voice,,1
363,2794,783,George Tillman Jr.,The Inevitable Defeat of Mister & Pete,1/25/2013,Rob Stevenhagen,The Tale of Despereaux,12/19/2008,0
364,2798,2556,Shane Black,Iron Man 3,5/3/2013,Shane Black,Iron Man 3,5/3/2013,1
365,2807,2564,Don Coscarelli,John Dies at the End,1/25/2013,Don Coscarelli,John Dies at the End,1/25/2013,1
366,2827,2583,Jason Osder,Let the Fire Burn,10/2/2013,Jason Osder,Let The Fire Burn,10/2/2013,1
367,2830,2586,Liz W. Garcia,The Lifeguard,7/30/2013,Liz W. Garcia,The Lifeguard,8/30/2013,1
368,2837,1901,Peter Berg,Lone Survivor,1/10/2014,Peter Weir,Fearless,1/1/1993,0
369,2838,2593,Megan Griffiths,Lucky Them,4/21/2014,Megan Griffiths,Lucky Them,5/30/2014,1
370,2859,169,RyÃ»hei Kitamura,No One Lives,5/10/2013,Mark Duplass,Jeff Who Lives at Home,3/16/2012,0
371,2867,2619,Michael Bay,Pain & Gain,4/26/2013,Michael Bay,Pain & Gain,4/26/2013,1
372,2871,151,,Half Life,,Bobcat Goldthwait,God Bless America,5/11/2012,0
373,2871,215,,Half Life,,Ridley Scott,Prometheus,6/8/2012,0
374,2871,327,,Half Life,,Roger Kumble,Furry Vengeance,4/30/2010,0
375,2871,353,,Half Life,,Gregg Araki,Kaboom,1/28/2011,0
376,2871,394,,Half Life,,Tod Williams,Paranormal Activity 2,10/22/2010,0
377,2871,496,,Half Life,,Jim Sheridan,Dream House,9/30/2011,0
378,2871,538,,Half Life,,David M. Rosenthal,Janie Jones,10/28/2011,0
379,2871,670,,Half Life,,Tyler Perry,The Family That Preys,9/12/2008,0
380,2871,1143,,Half Life,,Andrzej Bartkowiak,Romeo Must Die,3/22/2000,0
381,2871,1169,,Half Life,,Joel Schumacher,Tigerland,10/6/2000,
382,2871,1214,,Half Life,,Peter Howitt,Antitrust,1/12/2001,0
383,2871,1767,,Half Life,,Mike Binder,The Upside of Anger,3/11/2005,0
384,2871,1773,,Half Life,,Phedon Papamichael,The Weather Man,10/28/2005,0
385,2871,1803,,Half Life,,Elizabeth Allen (II),Aquamarine,3/3/2006,0
386,2871,1918,,Half Life,,David Munro,Full Grown Men,6/25/2008,0
387,2871,1983,,Half Life,,Danielle Agnello,Lime Salted Love,,0
388,2871,2333,,Half Life,,Rod Lurie,Resurrecting the Champ,8/24/2007,0
389,2871,2860,,Half Life,,Garry Marshall,The Other Sister,2/26/1999,0
390,2871,2972,,Half Life,,Andrew Tennant,Ever After: A Cinderella Story,7/31/1998,0
391,2871,3033,,Half Life,,Richard Schenkman,10/22/2015,12/31/1998,0
392,2900,2648,Eric England,Roadside,4/14/2015,Eric England,Roadside,,1
393,2912,1471,Kevin Goetz,Scenic Route,8/23/2013,Kevin Smith,Jersey Girl,3/26/2004,0
394,2935,2682,Chan-wook Park,Stoker,3/1/2013,Park Chan-wook,Stoker,3/1/2013,1
395,2949,2695,Brian Spitz,UnHung Hero,12/6/2013,Brian Spitz,UnHung Hero,12/6/2013,1
396,2951,1552,Morgan Spurlock,Super Size Me,6/11/2004,Morgan Spurlock,Super Size Me,5/7/2004,1
397,2961,2707,Jim Mickle,We Are What We Are,10/25/2013,Jim Mickle,We Are What We Are,9/27/2013,1
398,2966,2710,Zach Clark,White Reindeer,12/6/2013,Zach Clark,White Reindeer,12/6/2013,1
