src_block,_2010source_eui_kbtu_ft,_2014_source_eui_kbtu_ft,building,LOT,BRGH_CD,ghg_emissions_intensity,bin,agency
2763.0,289.6,235.5,Hunt's Point Recreation Center,1899-12-31,2.0,9.3,2109472.0,DPR
5368.0,156.7,166.4,"X405 within (X405, X406)",1899-12-31,2.0,8.2,2074045.0,DOE
3222.0,95.3,122.6,New Hall,1900-03-02,2.0,3.3,2100250.0,CUNY-C
1911.0,99.2,115.3,Help Harbor Transitional Housing Site II,1900-02-11,1.0,4.5,1057874.0,HRA
1931.0,214,224,M853,1900-01-26,1.0,5.9,1058660.0,DOE
928.0,185.8,165.1,Pacific Branch Library,1900-01-05,3.0,6.1,3018376.0,BPL
10171.0,176.5,152.8,South Jamaica Community Library,1900-01-07,4.0,4.9,4539786.0,QPL
7371.0,354.4,383.7,Precinct,1900-02-20,3.0,13.6,3200556.0,NYPD
422.0,116.9,111.7,M510,1900-03-12,1.0,4.4,1005626.0,DOE
1751.0,273.7,269.6,Bedford Stuyvesant Alcohol Treatment Center,1900-01-24,3.0,8.7,3329636.0,HHC
394.0,134.6,144.1,M061,1900-01-11,1.0,5.9,1079053.0,DOE
880.0,74.3,79.3,K845,1899-12-31,3.0,3.2,3331274.0,DOE
925.0,104.9,113.1,M040,1900-01-11,1.0,4.7,1020513.0,DOE
962.0,107.1,113.6,OCME DNA Lab,1900-04-09,1.0,3.9,1087242.0,OCME
3222.0,95.3,122.6,Colston Hall,1900-03-02,2.0,3.3,2100240.0,CUNY-C
4341.0,133.8,125.9,"X912 within (X096, X912)",1900-01-12,2.0,6.2,2049999.0,DOE
10092.0,611.2,596.7,NYPD Police Laboratory,1900-01-05,4.0,20.7,4215603.0,NYPD
3490.0,98.9,113.4,Q093,1899-12-31,4.0,5.3,4083511.0,DOE
3507.0,110.4,87,K298,1900-01-06,3.0,4.6,3080768.0,DOE
6826.0,131.4,78,Q168,1899-12-31,4.0,2.6,4147847.0,DOE
5778.0,119.1,72.4,American Museum of Natural History Storage,1899-12-31,3.0,1.9,3257059.0,CIG
2717.0,90,92.1,X150,1900-01-04,2.0,4.8,2005681.0,DOE
1510.0,129.2,116.4,K137,1899-12-31,3.0,4.9,3040878.0,DOE
4719.0,114.1,111.4,X078,1899-12-31,2.0,6,2060191.0,DOE
6517.0,229,222.1,Virginia Frese Hall,1899-12-31,4.0,7.5,4439914.0,CUNY-S
848.0,44.1,33.9,M905,1920-07-15,1.0,0.9,1016163.0,DOE
1939.0,91.1,84.5,M092,1900-01-10,1.0,3.9,1058808.0,DOE
2727.0,427,502.4,Precinct,1900-01-16,2.0,16.6,2005802.0,NYPD
2423.0,135.2,149.3,Q229,1899-12-31,4.0,6.1,4440274.0,DOE
3222.0,95.3,122.6,Bliss Hall,1900-03-02,2.0,3.3,2100252.0,CUNY-C
6517.0,229,223.4,Lloyd T. Delany Hall,1899-12-31,4.0,7.5,4442883.0,CUNY-S
1791.0,4528.4,6625.7,DOT Asphalt Plant,1900-02-20,4.0,330.4,4311982.0,DOT
1367.0,101.3,115,K210,1900-01-21,3.0,6,3036289.0,DOE
15736.0,118.6,107.9,"Q465 within (Q465, Q466)",1899-12-31,4.0,4.6,4300730.0,DOE
1121.0,145.6,120.2,"R445 within (R445, R815)",1899-12-31,5.0,4.9,5026076.0,DOE
11018.0,100.2,108.4,Q136,1900-01-20,4.0,4.5,4236757.0,DOE
3606.0,118.4,131.1,K184,1899-12-31,3.0,5.9,3082391.0,DOE
9172.0,145.8,150,Q137,1899-12-31,4.0,5.2,4467457.0,DOE
996.0,91.6,135.3,M896,1900-01-20,1.0,4.5,1022615.0,DOE
7312.0,68.7,79.3,Q158,1899-12-31,4.0,4.3,4438325.0,DOE
4717.0,204.3,179.8,East Flatbush Branch Library,1900-02-06,3.0,5.6,3103597.0,BPL
3208.0,104,106.2,"X091 within (X091, X891)",1899-12-31,2.0,5.6,2014505.0,DOE
4552.0,119,129.2,"X926 within (X076, X926)",1900-01-09,2.0,5.9,2054933.0,DOE
1772.0,129.2,132.8,Manhattan Lot Cleaning (Leased),1900-01-30,1.0,4.3,1054433.0,DSNY
3966.0,20.4,Not Available,K897 (closed),1899-12-31,3.0,0,3327112.0,DOE
12495.0,105.6,92.6,"Q030 within (Q030, Q962)",1900-03-05,4.0,4.6,4270045.0,DOE
2039.0,294.4,497.3,Cumberland Diagnostic and Treatment Center,1900-04-10,3.0,22.7,3251647.0,HHC
0.0,173.7,57.5,Offices and Storage,1899-12-30,3.0,1.5,3336609.0,DOT
13578.0,161.3,156.8,Q138,1899-12-31,4.0,6.6,4288640.0,DOE
1773.0,263.4,308,"Engine Co. 35 and Ladder Co. 14, Batt. 12",1900-02-01,1.0,10.7,1054465.0,FDNY
3842.0,167.8,156.5,X833,1900-01-01,2.0,5,2027195.0,DOE
11018.0,143.5,175,Q822,1900-01-20,4.0,4.6,4236757.0,DOE
16257.0,123.5,137.3,Q114,1899-12-31,4.0,7.6,4305615.0,DOE
1643.0,169.2,139.4,K309,1900-02-04,3.0,7.8,3045047.0,DOE
563.0,149.9,139.6,Property Clerk & Youth Aid,1900-01-18,1.0,5.2,1009128.0,NYPD
3120.0,654.4,713.9,Bronx Zoo Campus: Congo Gorilla Forest,1900-01-19,2.0,36,2123911.0,CIG
776.0,409.3,414.7,Bowery Bay WPCP Campus: BIN 4539570,1900-05-29,4.0,12,4539570.0,DEP
1888.0,226,180.7,K914,1900-02-02,3.0,5.8,3054323.0,DOE
11151.0,122.8,126.7,"Q834 within (Q034, Q834)",1900-03-21,4.0,5.2,4240503.0,DOE
3948.0,95.8,115.1,X127,1900-02-23,2.0,6.4,2041247.0,DOE
4258.0,516.3,469.6,Samaritan Forbell Residence,1900-02-04,3.0,12.4,3095610.0,DHS
1461.0,108,112.2,"M183 within (M183, M390)",1900-01-06,1.0,5.1,1045569.0,DOE
683.0,227,207.7,"R886 within (R880, R080, R881, R883, R884, R885, R886, R887)",1899-12-31,5.0,7.6,5113169.0,DOE
3365.0,Not Available,Not Available,Q290,1900-01-26,4.0,2.6,4080234.0,DOE
1920.0,304.9,388.6,Countee Cullen Branch Library,1900-01-25,1.0,17.1,1058275.0,NYPL
3803.0,173.2,170,University Settlement Society of New York Inc. (Leased),1900-02-14,3.0,4.5,3342526.0,ACS
99999.0,4.9,7,Fresh Kills Landfill - MTS,1899-12-31,5.0,0.2,5000000.0,DSNY
4090.0,155.1,234.8,New Lots Branch Library,1899-12-31,3.0,7.3,3090726.0,BPL
2160.0,161.7,146.5,"M965 within (M465, M466, M965)",1900-01-17,1.0,8,1076751.0,DOE
1355.0,113.6,111.2,K335,1900-01-22,3.0,5.7,3035887.0,DOE
6834.0,105.4,119.7,Q154,1899-12-31,4.0,4.7,4148003.0,DOE
5891.0,Not Available,201.2,K331,1900-02-16,3.0,6.2,3146550.0,DOE
3123.0,108.6,110.1,"X067 within (X067, X967)",1900-01-02,2.0,5.6,2013142.0,DOE
2953.0,236.6,277.7,"Bronx 6, 6A District Garage",1900-01-20,2.0,11.9,2097277.0,DSNY
3060.0,210.7,238.4,Crotona Job Center #41 Offices (Leased),1900-01-31,2.0,8.1,2011826.0,HRA
438.0,171.4,158.5,Q725 (Leased),1900-01-25,4.0,5.1,4005184.0,DOE
6271.0,129.5,141.1,"K445 within (K445, K446)",1899-12-31,3.0,5.5,3162711.0,DOE
12927.0,125.6,111,"Q132 within (Q132, Q996)",1900-01-27,4.0,4.8,4278380.0,DOE
2605.0,344.9,539.3,Rikers Island GRVC Detention Facility,1900-02-08,2.0,19.4,2096863.0,DOC
344.0,84.8,99.2,M140,1899-12-31,1.0,5,1004091.0,DOE
1680.0,121.9,147.1,Leonardo Coverio Senior Center,1900-02-13,1.0,5.9,1074278.0,DFTA
8464.0,93.3,101.7,"K236 within (K236, K975)",1899-12-31,3.0,4,3326821.0,DOE
5263.0,238.1,263.3,X189,1900-04-24,2.0,7.9,2115403.0,DOE
8388.0,85.8,74.6,K078,1900-01-01,3.0,4,3236496.0,DOE
1957.0,251.1,298.8,Baskerville Hall,1900-07-18,1.0,9.6,1084085.0,CUNY-S
113.0,271.3,225.7,M520,1900-04-09,1.0,8.4,1001388.0,DOE
5756.0,116.2,123.1,X007,1900-07-13,2.0,5.2,2083564.0,DOE
2793.0,120.6,113.2,"X870 within (X070, X870)",1900-01-27,2.0,5.2,2007387.0,DOE
1518.0,126.6,103.1,K040,1899-12-31,3.0,5.2,3041214.0,DOE
3222.0,95.3,122.3,"Hall of Fame, Auditorium and Colonnade",1900-03-02,2.0,3.3,2100243.0,CUNY-C
881.0,204.6,261.1,Library and Technology Bldg,1900-01-30,1.0,8,1018107.0,CUNY-S
275.0,347.1,382.4,Library Services Center (Leased),1920-07-14,4.0,12.2,4003522.0,NYPL
99999.0,Not Available,Not Available,Q802 (closed),1927-05-17,4.0,0,4000000.0,DOE
2552.0,204.2,182.9,X855,1900-03-10,2.0,4.8,2003646.0,DOE
4904.0,148,161.4,K181,1900-01-09,3.0,6.3,3327776.0,DOE
3188.0,109.7,117.6,X939,1900-01-07,2.0,4.7,2014098.0,DOE
1554.0,29.8,94.9,M816,1900-01-14,1.0,5.6,1050217.0,DOE
2069.0,126.6,218,Manhattan Sewer Maintenance Yard,1900-01-25,1.0,8,1075503.0,DEP
2685.0,Not Available,297.3,Plant 1: Tractor Shops,1900-04-09,5.0,16.7,5141714.0,DSNY
3823.0,109,99.8,K013,1899-12-31,3.0,4.3,3085070.0,DOE
5900.0,235.9,266.4,Bucket Shop / Garage 3,1901-05-14,5.0,14.4,5130986.0,DSNY
3246.0,288.2,264.4,X905,1900-01-01,2.0,7.6,2015222.0,DOE
3247.0,106.5,174.2,Speech and Theater Building,1899-12-31,2.0,4.6,2098697.0,CUNY-S
606.0,210.8,212,Jefferson Market Branch Library,1899-12-31,1.0,7.2,1082668.0,NYPL
5362.0,104.2,112.4,K223,1900-01-20,3.0,4.9,3125676.0,DOE
2359.0,130.3,169.5,"X470 within (X470, X920)",1900-08-27,2.0,7.1,2001153.0,DOE
4324.0,142.2,134.8,"K213 within (K213, K893)",1899-12-31,3.0,7.7,3097334.0,DOE
11972.0,132,140.4,"Q142 within (Q142, Q875)",1900-03-10,4.0,5.6,4259200.0,DOE
1849.0,94.2,97,Q455,1899-12-31,4.0,4.2,4045629.0,DOE
2605.0,344.9,359.2,Rikers Island AMKC Campus: Modules WW & XX/ (7&8),1900-02-08,2.0,14.6,0.0,DOC
2738.0,28.7,8.1,Bridges Juvenile Center Intake and Admissions,1900-02-03,2.0,0.2,2005938.0,ACS
4125.0,110.9,119.5,X083,1899-12-31,2.0,6,2045344.0,DOE
3067.0,105.1,101.1,X045,1899-12-31,2.0,4.1,2011937.0,DOE
2111.0,151.6,147.8,Rena Day Care Center (Leased),1900-02-26,1.0,4,1062652.0,ACS
7128.0,46.6,50.4,Q179,1900-01-09,4.0,2.4,4153407.0,DOE
962.0,204.5,162.1,Brookdale East Building,1900-04-09,1.0,6.9,1069579.0,CUNY-S
1488.0,109.8,166,"John Jay Park, Pool and Comfort Station",1900-01-16,1.0,6.6,1046409.0,DPR
3222.0,95.3,122.6,North Hall and Library,1900-03-02,2.0,3.3,2831930.0,CUNY-C
7490.0,303.5,310.2,Administration / Business Building,1900-01-01,4.0,11.5,4862628.0,CUNY-C
5103.0,135.1,124.7,K465,1900-01-09,3.0,5.4,3336215.0,DOE
5917.0,104.1,100.1,X024,1900-05-19,2.0,5.5,2085869.0,DOE
170.0,208.4,149.5,Clocktower Building (Leased),1900-01-05,1.0,6.2,1001835.0,DCAS
3561.0,142,135.5,Q239,1899-12-31,4.0,4.4,4435561.0,DOE
85.0,517.9,481.9,OEM Headquarters,1900-01-05,3.0,13.8,3000172.0,DCAS
8215.0,295.7,228.9,K366,1900-01-11,3.0,6.4,3396940.0,DOE
3043.0,75,94.7,Bushwick United Housing Development Fund Corp (Leased),1899-12-31,3.0,2.9,3070967.0,ACS
259.0,68.6,74.5,M446,1900-02-12,1.0,3.1,1003214.0,DOE
4599.0,143.1,116.4,"K189 within (K189, K889)",1899-12-31,3.0,5.1,3099537.0,DOE
7452.0,780.4,689.3,Coney Island WPCP Campus: 2580 Knapp St,1899-12-31,3.0,24.3,3204772.0,DEP
503.0,192.5,194.1,Department of Probation Offices (Leased),1900-01-31,5.0,7.1,5013302.0,DOP
228.0,160.4,161.1,Q600,1900-01-19,4.0,5.5,4003259.0,DOE
4827.0,341.8,373.5,Brooklyn North 9 District Garage,1900-02-07,3.0,14.6,3327687.0,DSNY
683.0,227,207.7,"R080 within (R880, R080, R881, R883, R884, R885, R886, R887)",1899-12-31,5.0,7.6,5113169.0,DOE
1489.0,104.9,108,M158,1899-12-31,1.0,4.1,1046411.0,DOE
3330.0,241.8,235.2,"X020 within (X020, X931)",1899-12-31,2.0,8.5,2086851.0,DOE
2329.0,304.5,296.8,X807,1900-03-15,2.0,9.8,2000876.0,DOE
1767.0,Not Available,77.7,Graduate Center Housing (Leased),1900-01-29,1.0,3.6,1088293.0,CUNY-S
10813.0,300.4,283.1,Q263,1900-01-04,4.0,8.3,4231378.0,DOE
437.0,128.8,140.5,"K979 within (K032, K979)",1899-12-31,3.0,6.9,3007326.0,DOE
489.0,108.6,100.3,Q801,1899-12-31,4.0,4.3,4005429.0,DOE
2605.0,344.9,399.5,"Rikers Island RNDC Campus: Rikers Island RNDC Campus: Sprungs, MOD 3",1900-02-08,2.0,15.7,0.0,DOC
153.0,249.1,237.5,Manhattan Surrogate's Court,1900-01-23,1.0,9.1,1001670.0,DCAS
16.0,201.2,203.9,M477,1900-08-02,1.0,6.3,1084587.0,DOE
1267.0,313.9,187.2,K824 (Leased),1899-12-31,3.0,5.3,3032886.0,DOE
3564.0,123.7,105.2,X182,1899-12-31,2.0,4.6,2021923.0,DOE
22.0,155.2,162.4,"R450 within (R450, R451, R814)",1899-12-31,5.0,8.7,5106483.0,DOE
971.0,115.9,117.6,"K321 within (K321, K896)",1900-01-27,3.0,5.3,3337516.0,DOE
9707.0,86.8,88.8,Q680,1900-02-16,4.0,2.7,4207510.0,DOE
127.0,251.9,143.9,Fiterman Hall,1899-12-31,1.0,6.2,1088292.0,CUNY-C
3247.0,106.5,173.8,Childcare Center,1899-12-31,2.0,4.6,2119733.0,CUNY-S
798.0,241.1,240.6,Sunset Park Branch Library,1900-02-02,3.0,7.7,3013507.0,BPL
3702.0,93.3,212.5,"Bronx 9, 10, 11 District Garages Campus: Bronx 9/10 Sanitation Garage",1899-12-31,2.0,10.8,2094841.0,DSNY
2947.0,277.5,182.8,Bronx Bergen Building,1900-01-17,2.0,6.6,2009911.0,DCAS
176.0,95,109.4,R018,1900-01-09,5.0,4,5004877.0,DOE
1316.0,108.4,101.6,K061,1900-01-14,3.0,3.8,3337872.0,DOE
7868.0,237.8,191.8,Flatlands Branch Library,1900-02-07,3.0,6.3,3219626.0,BPL
2267.0,120.5,107.4,X030,1900-01-14,2.0,5.7,2000077.0,DOE
7266.0,100.6,80.1,K090,1900-02-08,3.0,4.1,3196558.0,DOE
197.0,213.1,193.9,Excelsior Building,1900-01-16,1.0,6.2,1002358.0,DCAS
2688.0,107,132.5,X130,1899-12-31,2.0,7.9,2005168.0,DOE
1616.0,115.6,93.7,K057,1899-12-31,3.0,3.8,3043822.0,DOE
6606.0,94.9,102,Q164,1900-01-01,4.0,5.6,4142980.0,DOE
1183.0,637.6,802,Brooklyn CO,1900-02-19,3.0,21.2,3029669.0,FDNY
6595.0,97.9,103.3,K096,1900-02-01,3.0,4.4,3174076.0,DOE
4744.0,120.3,91.6,K285,1899-12-31,3.0,3.5,3104599.0,DOE
1111.0,877.5,710.7,Manhattan Co.,1899-12-31,1.0,18.8,1000000.0,FDNY
3222.0,95.3,122.8,Brown Annex,1900-03-02,2.0,3.3,2100247.0,CUNY-C
350.0,162.5,151,Escuela Hispana Montessori #2 (Leased),1900-01-07,1.0,5.3,1004240.0,ACS
1419.0,98.2,100.6,Q148,1899-12-31,4.0,4.1,4034841.0,DOE
1923.0,Not Available,274.2,Sydenham Health Center,1900-02-21,1.0,11.4,1058399.0,HHC
1616.0,91.2,77,K026,1899-12-31,3.0,3,3393805.0,DOE
100.0,Not Available,394,M971 (Leased),1920-07-15,1.0,10.4,1087485.0,DOE
799.0,201.3,133.9,"Engine Co. 201 and Ladder 114, Batt. 40",1900-01-04,3.0,3.6,3013535.0,FDNY
1149.0,83,79,M087,1900-01-06,1.0,4.1,1030196.0,DOE
3632.0,217.2,247,Precinct,1899-12-31,4.0,9.1,4088186.0,NYPD
4006.0,181.4,168.4,X879,1900-01-02,2.0,5.4,2042451.0,DOE
1199.0,176.1,197.2,Atlantic Avenue Men's Shelter (Armory),1900-01-14,3.0,8.4,3029748.0,DHS
11900.0,800.9,644.7,Jamaica WPCP Campus: 130th Pl,1900-01-01,4.0,19.3,4459553.0,DEP
10523.0,135.5,185.7,Highway District #3,1900-03-09,4.0,8.3,4467695.0,NYPD
3176.0,83.5,94.7,St. James Park Recreation Center,1899-12-31,2.0,3.9,2118325.0,DPR
1660.0,216.1,211,Engine Co. 91,1900-01-29,1.0,8.2,1052473.0,FDNY
1253.0,105.1,100.4,Day Care Center (Leased),1900-01-06,3.0,2.7,3032188.0,ACS
2454.0,323.3,288.1,Bronx Family and Criminal Court,1899-12-31,2.0,9.2,2002704.0,DCAS
2018.0,208.5,218.6,New York Hall of Science,1899-12-31,4.0,7.2,4441124.0,CIG
1239.0,176.2,147.4,"Q011 within (Q011, Q810, Q932)",1899-12-31,4.0,7.1,4028447.0,DOE
3416.0,95.5,88.1,K296,1899-12-31,3.0,4.8,3079027.0,DOE
3699.0,364.3,244.7,HELP Women's Center Shelter,1899-12-31,3.0,10.1,3083637.0,DHS
2762.0,241.7,176.7,Leonard Branch Library,1900-01-20,3.0,5.7,3068818.0,BPL
497.0,174.9,161.5,CUNY in the Heights (Leased),1899-12-31,1.0,4.3,1007560.0,CUNY-C
131.0,163.9,100.9,K580,1899-12-31,3.0,4.9,3348041.0,DOE
755.0,114.6,103.6,"K881 within (K001, K881)",1900-01-21,3.0,4.8,3011821.0,DOE
5147.0,75,102.6,Q237,1899-12-31,4.0,5.2,4116436.0,DOE
1431.0,114.6,127.4,Shirley Chisolon Day Care Center (Leased),1900-02-22,3.0,4.5,3038522.0,ACS
7474.0,97.2,101.3,K052,1899-12-31,3.0,4.1,3205435.0,DOE
6391.0,221.3,197.3,K229,1900-01-23,3.0,6.5,3167212.0,DOE
7254.0,118.1,107.4,"K410 within (K410, K411)",1899-12-31,3.0,4.5,3196293.0,DOE
3826.0,95.2,Not Available,K838 (closed),1900-01-20,3.0,0,3085153.0,DOE
1983.0,72.2,100.3,K056,1900-01-09,3.0,3.8,3056874.0,DOE
7860.0,88.6,50.8,K729,1900-01-16,3.0,1.3,3345177.0,DOE
1377.0,Not Available,138.5,Q329,1900-01-15,4.0,5.1,4437125.0,DOE
2153.0,235.5,230.8,Fort Washington Branch Library,1900-02-21,1.0,8.5,1063632.0,NYPL
7381.0,103.2,117.5,K206,1900-07-19,3.0,5,3201080.0,DOE
1478.0,54.2,52,R051,1901-05-14,5.0,2.1,5107210.0,DOE
3252.0,128.5,143.3,X095,1900-06-30,2.0,6.2,2015472.0,DOE
2286.0,122.9,103.4,X139,1900-02-04,2.0,4.9,2000391.0,DOE
16.0,112.4,105.8,R801,1900-01-06,5.0,4.1,5000161.0,DOE
579.0,192.7,176.8,FDNY Museum,1900-01-10,1.0,6,1009739.0,FDNY
3060.0,93.2,104.4,K250,1899-12-31,3.0,5.8,3071199.0,DOE
5559.0,196.3,211.2,"Engine Co. 264 and Ladder Co. 134, Engine Co. 328",1900-01-24,4.0,7.5,4529057.0,FDNY
8135.0,121.6,133.9,Q094,1900-01-28,4.0,5.5,4169468.0,DOE
15001.0,198.3,275.4,Queens East 13 District Garage,1900-03-13,4.0,12.1,4433112.0,DSNY
1964.0,143.5,149,M125,1900-01-11,1.0,8.1,1059526.0,DOE
75.0,80.2,199.2,P.S. 1 Contemporary Art Center,1899-12-31,4.0,6.9,4000548.0,CIG
159.0,215.1,210.5,Staten Island Civil Court,1900-03-05,5.0,7.4,5004530.0,DCAS
5713.0,33.6,349.2,Kingsbridge Library,1900-05-02,2.0,11,2119474.0,NYPL
688.0,239.1,232.8,K564,1900-01-25,3.0,6.8,3394175.0,DOE
552.0,194.9,191.3,P.A.L. Miccio Day Care Center (Leased),1900-01-04,3.0,5.1,3008517.0,ACS
585.0,65.6,90.9,M003,1900-02-09,1.0,4.1,1009872.0,DOE
12993.0,144.1,150.4,Q037,1900-04-27,4.0,8.3,4279864.0,DOE
2527.0,1101.8,654.9,Newtown Creek WPCP Campus: Pollution Control,1900-01-01,3.0,18.3,3398222.0,DEP
2605.0,344.9,390,Rikers Island Laundry Facility,1900-02-08,2.0,15.4,0.0,DOC
683.0,227,207.7,"R880 within (R880, R080, R881, R883, R884, R885, R886, R887)",1899-12-31,5.0,7.6,5113169.0,DOE
5571.0,78.3,111.7,K205,1899-12-31,3.0,4.4,3134749.0,DOE
2189.0,151.7,134.8,Williamsburg Branch Library,1899-12-31,3.0,4.9,3060090.0,BPL
940.0,Not Available,171.2,K317,1900-04-20,3.0,5.5,3413716.0,DOE
4077.0,69.2,154.8,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,1900-01-23,3.0,6.5,3090429.0,DHS
1669.0,218.1,239.7,SCO Family of Services (Leased),1900-02-06,4.0,6.5,4041534.0,ACS
2105.0,159.7,380.2,Harlem 1 Men's Shelter,1899-12-31,1.0,20.3,1076737.0,DHS
7069.0,116.8,109.1,Poseidon Playground Maintenance Building,1900-01-13,3.0,2.9,3329347.0,DPR
76.0,166.8,143.1,Snug Harbor Campus: B-C Hyphen,1900-07-18,5.0,5.1,5113028.0,CIG
1957.0,251.1,202.8,Structural Biology Center,1899-12-31,1.0,5.5,1084068.0,CUNY-S
7599.0,238.7,228.7,Precinct,1900-03-07,3.0,7.6,3207376.0,NYPD
404.0,156.7,157,Tompkins Square Branch Library,1900-02-07,1.0,5.2,1005147.0,NYPL
1634.0,114,114.4,M895,1900-03-05,1.0,3,1052058.0,DOE
76.0,166.8,143.1,Snug Harbor Campus: Bldg P/Admin,1900-07-18,5.0,5.1,5000000.0,CIG
791.0,172.7,227.1,Prison Health Warehouse,1900-01-15,4.0,7.8,4015250.0,DOHMH
3524.0,122.9,145.1,"X069 within (X069, X869)",1900-01-19,2.0,6.7,2021482.0,DOE
8496.0,97.9,96.9,K278,1900-04-09,3.0,4.8,3239889.0,DOE
1373.0,230.2,207.5,M271,1899-12-31,1.0,5.6,1084848.0,DOE
4829.0,470.4,672,Kings County Hospital Campus: Buildings T,1899-12-31,3.0,25.7,3327725.0,HHC
3752.0,211.7,222.1,Commonwealth Avenue SRO (Single Room Occupancy) Residence,1900-01-12,2.0,7.9,2088552.0,DHS
6239.0,119.6,118.8,K186,1899-12-31,3.0,5.1,3160923.0,DOE
1756.0,169.3,203.8,Q843,1900-01-24,4.0,5.4,4043827.0,DOE
4440.0,734.3,646,26th Ward WPCP Campus: 122-66 Flatlands Ave,1899-12-31,3.0,19.1,3848583.0,DEP
6517.0,229,223.2,Gregory Razran Hall,1899-12-31,4.0,7.5,4467569.0,CUNY-S
529.0,180.3,160.9,SCCW Central Shelter,1900-01-14,1.0,4.9,1008425.0,DHS
23.0,24.7,130.1,M282,1900-01-12,1.0,3.4,1000811.0,DOE
1274.0,Not Available,46.1,Brooklyn Armory,1899-12-31,3.0,2,3033161.0,DCAS
4806.0,90.8,80.7,K391,1899-12-31,3.0,3.2,3107129.0,DOE
6917.0,109.3,105,K212,1899-12-31,3.0,5.9,3187407.0,DOE
8731.0,82.6,93.6,Q172,1900-01-03,4.0,4.7,4178464.0,DOE
4401.0,109.9,94.9,K273,1899-12-31,3.0,5.6,3097973.0,DOE
8361.0,153.1,158.3,Q811,1899-12-31,4.0,8,4173060.0,DOE
1423.0,151.2,150.3,"K892 within (K221, K892)",1900-01-13,3.0,8.8,3038372.0,DOE
5144.0,124.1,120.1,K139,1900-03-04,3.0,6,3328235.0,DOE
4045.0,183.5,237.8,Queens Auto Crime,1899-12-31,4.0,6.8,4097877.0,NYPD
2302.0,95.8,91.8,X049,1900-02-08,2.0,4.8,2000626.0,DOE
7758.0,110.6,129,K251,1899-12-31,3.0,6.9,3214729.0,DOE
2510.0,242.7,204,High Bridge Branch Library,1900-01-26,2.0,7.3,2003163.0,NYPL
676.0,31,22.5,Manhattan 6 Vehicle Storage and Fueling,1900-01-02,1.0,0.9,1085462.0,DSNY
2324.0,77.5,58.8,X018,1900-01-07,2.0,4,2000816.0,DOE
1828.0,141.2,141.2,M113,1900-01-14,1.0,7.2,1055111.0,DOE
18.0,115.8,140.7,R831,1900-01-05,5.0,6.2,5000290.0,DOE
1610.0,412,401.8,El Museo Del Barrio,1899-12-31,1.0,10.6,1051499.0,CIG
1812.0,293.5,291.7,K994,1899-12-31,3.0,9.7,3329679.0,DOE
5155.0,253.1,241.3,Engine Co. 281 and Ladder Co. 147,1900-01-03,3.0,8.8,3118638.0,FDNY
4833.0,19.2,42.4,Kingsboro MICA 8 Shelter,1899-12-31,3.0,1.8,3337083.0,DHS
3925.0,1519.4,2024.4,Tallman Island WPCP Campus: BIN 4440692,1899-12-31,4.0,56,4440692.0,DEP
3426.0,424.3,416.2,Bushwick Family Residence,1900-01-04,3.0,15.6,3319581.0,DHS
2315.0,264.4,257.8,Mott Haven Branch Library,1900-01-17,2.0,7.9,2000744.0,NYPL
4864.0,278.1,262.2,X362,1900-02-03,2.0,8,2829945.0,DOE
7760.0,192.1,198.2,R006,1899-12-31,5.0,6.4,5131697.0,DOE
142.0,134.2,159.1,M234,1899-12-31,1.0,6.4,1001533.0,DOE
4673.0,159.1,124.4,"K953 within (K135, K953)",1899-12-31,3.0,5.7,3102005.0,DOE
13331.0,82.5,87.5,"Q231 within (Q231, Q251)",1899-12-31,4.0,3.6,4285682.0,DOE
9053.0,122.4,123.7,Q064,1900-01-13,4.0,6.5,4188214.0,DOE
3120.0,654.4,713.9,Bronx Zoo Campus: Farm Apartments,1900-01-19,2.0,36,2123911.0,CIG
3086.0,209.9,184.9,Engine Co. 88 and Ladder Co. 38,1900-02-06,2.0,6.9,2086781.0,FDNY
3330.0,241.8,235.2,"X931 within (X020, X931)",1899-12-31,2.0,8.5,2086851.0,DOE
1440.0,139.1,143.3,K178,1900-02-24,3.0,5.6,3038718.0,DOE
5121.0,Not Available,74.7,K735,1900-01-31,3.0,2.9,3117584.0,DOE
2605.0,344.9,392.6,Rikers Island OBCC Campus: Rikers Island OBCC Campus: Main Building,1900-02-08,2.0,15.5,0.0,DOC
1418.0,292,268.1,M267,1900-01-06,1.0,9.7,1087680.0,DOE
9858.0,113,106.8,Q470,1900-04-09,4.0,4.2,4448806.0,DOE
878.0,204.6,195.8,Steven L. Newman Hall,1900-01-19,1.0,7.5,1086513.0,CUNY-S
1855.0,186.5,165,M506,1900-01-08,1.0,5.2,1055911.0,DOE
6681.0,119.3,133,K215,1900-06-17,3.0,5.7,3178584.0,DOE
1984.0,119.1,108.6,M043,1900-02-01,1.0,4.8,1059723.0,DOE
2990.0,129.9,144.7,X817,1900-01-05,2.0,3.8,2010671.0,DOE
107.0,204.5,Not Available,K906 (closed),1899-12-31,3.0,0,3000183.0,DOE
3327.0,442,452.5,North Central Bronx Hospital,1900-07-18,2.0,16.6,2017787.0,HHC
1422.0,222.9,235.4,Precinct,1900-02-02,4.0,8.1,4034862.0,NYPD
2366.0,302.7,320,Metropolitan Pool and Fitness Center,1900-01-03,3.0,11.9,3062457.0,DPR
3185.0,57.3,82.6,K111,1899-12-31,3.0,4.5,3072497.0,DOE
