Thoroughfare,project_id,location_segment_id,ProjClass,StatFlag,oft_code,location_community_board
West 58 Street,M2020-05-13,22609.0,Intersection,,121680134930000000,105.0
Kissena Boulevard,Q2014-08-13,55122.0,Intersection,,415390452390000000,408.0
Webster Avenue,X2013-03-01,44248.0,Intersection,,226700273720000000,203.0
Myrtle Avenue,B202304018,27956.0,Intersection,,356330363030000000,304.0
East Gun Hill Road,X2011-11-05,53783.0,Intersection,,214020229320000000,212.0
West 246 Street,X2015-08-25,45029.0,Intersection,,212550275140000000,208.0
Eastern Parkway,K2004-08-4,9035383.0,Intersection,,371030338430 00000,
81 Street,K2005-11-9,13400.0,Intersection,,306880310630000000,311.0
Bend,S2019-03-05,1136.0,Intersection,,515650518510000000,503.0
Kingston Avenue,K2007-08-04,26729.0,Intersection,,342730354070000000,303.0
Benson Avenue,K2018-11-07,12796.0,Intersection,,307230319030000000,311.0
Havemeyer Street,K2019-01-22,19704.0,Intersection,,345130348030000000,301.0
West 63 Street,M2019-04-01,21707.0,Intersection,,113610135030000000,107.0
Olinville Avenue,X2014-12-05,67931.0,Intersection,,212550255520000000,212.0
Riverdale Avenue,X2017-08-10,49356.0,Intersection,,239220261520000000,208.0
Lirr North Side Div,Q2014-01-01,41950.0,Intersection,,409640454103000000,
Belt Parkway,K2017-13-14,16583.0,Intersection,,367730377030000000,313.0
Yukon Avenue,S2014-02-69,83976.0,Intersection,,518510556625000000,502.0
East 14 Street,K2011-14-13,18090.0,Intersection,,326230335430000000,314.0
Mcdonald Avenue,K2008-11-14,16456.0,Intersection,,314580359430000000,311.0
Riverside Drive,M2003-07-1,24361.0,Intersection,,113113129690000000,107.0
Lenox Road,K2011-17-09,18506.0,Intersection,,336330355330000000,317.0
Riverdale Avenue,K2013-16-04,29192.0,Intersection,,356440373380000000,
Union Turnpike,Q2010-11-03,82186.0,Intersection,,463290465590000000,411.0
West 53 Street,M2019-04-07,21480.0,Intersection,,110810134830000000,105.0
East Drive,M2019-64-01,23631.0,Intersection,,113113198020000000,164.0
Pitt Street,M2002-03-8,16038.0,Intersection,,121690128990000000,103.0
Dead End,K2016-12-02,12104.0,Intersection,,309330332600000000,307.0
Huntington Avenue,X2016-10-59,56872.0,Intersection,,238120241550000000,210.0
Zulette Avenue,X2016-10-37,95125.0,Intersection,,241720279150000000,210.0
Clermont Avenue,B202402028,94501.0,Intersection,,323340327030000000,302.0
North 9 Street,B202401017,22100.0,Intersection,,318630366530000000,301.0
Body Of Water,Q2016-14-08,33190.0,Intersection,,435780462250000000,410.0
Woodhaven Boulevard,Q2017-09-38,87947.0,Intersection,,418790468090000000,409.0
135 Avenue,Q2019-10-08,31664.0,Intersection,,417540422190000000,410.0
Park Avenue,K2015-02-13,71738.0,Intersection,,363985369230000000,302.0
North 12 Street,B202201026,22110.0,Intersection,,319530366830000000,301.0
190 Street,Q2008-12-11,37676.0,Intersection,,418040425340000000,412.0
Body Of Water,Q2009-14-02,41442.0,Intersection,,435780462250000000,410.0
Lafayette Avenue,S2010-01-56,9533.0,Intersection,,518510535450000000,501.0
Northern Boulevard,Q2004-11-11,9029856.0,Intersection,,427490457790000000,411.0
Morton Street,S2017-03-16,5151.0,Intersection,,515505539698000000,
Main Street,Q2011-08-08,54897.0,Intersection,,415190454580000000,408.0
Bend,Q2005-11-11,61791.0,Intersection,,411090435780000000,404.0
Henry Hudson Parkway,X2017-08-10,49347.0,Intersection,,275175239220 00000,
Bronxdale Avenue,X202211002,52535.0,Intersection,,210620215520000000,211.0
Bend,M2003-07-1,24369.0,Intersection,,129690113113 00000,
Bend,S2015-03-44,636.0,Intersection,,515650518510000000,503.0
Wallace Avenue,X2009-11-19,52534.0,Intersection,,261220272620000000,211.0
223 Street,Q2017-13-56,40129.0,Intersection,,421290426990000000,413.0
Ridge Boulevard,K2008-10-14,11544.0,Intersection,,310980373330000000,310.0
Neill Avenue,X202311022,52640.0,Intersection,,249820253520000000,211.0
Franklin D Roosevelt Drive,M2005-11-2,41986.0,Intersection,,118950120490000000,111.0
Grand Central Parkway,Q2009-08-08,55244.0,Intersection,,424090447390000000,408.0
Merrick Boulevard,Q2011-12-45,36845.0,Intersection,,429090455590000000,412.0
East Tremont Avenue,X2014-10-07,90992.0,Intersection,,212550229620000000,205.0
Nassau Avenue,B202201018,79886.0,Intersection,,359640363630000000,301.0
University Avenue,X2016-05-03,44754.0,Intersection,,237640270620000000,205.0
Sumpter Street,K2017-16-16,27221.0,Intersection,,373470383430000000,316.0
Dead End,Q2013-11-77,60010.0,Intersection,,426840441700 00000,
Wooddale Avenue,S2014-02-89,8138.0,Intersection,,531115556241000000,502.0
Lanett Avenue,Q2011-14-02,38142.0,Intersection,,429890452830000000,414.0
Long Island Expressway,Q2016-11-43,61921.0,Intersection,,443020450290000000,411.0
Hamilton Avenue,K2009-06-02,14736.0,Intersection,,306730346830000000,307.0
Farragut Road,K2010-17-14,26131.0,Intersection,,336880340230000000,317.0
Ocean Parkway,K2011-12-10,17926.0,Intersection,,329630367730000000,312.0
Pike Street,M2010-03-04,15818.0,Intersection,,119690128790 00000,103.0
Belt Parkway,K2005-15-18,16563.0,Intersection,,367730377030000000,313.0
Laurel Hill Boulevard,Q2003-02-2,45172.0,Intersection,,412690453090000000,402.0
Reservoir Oval,X2013-07-02,49203.0,Intersection,,212550260920000000,207.0
Fdr Drive Exit,M2017-01-02,15437.0,Intersection,,128490197290000000,
East 57 Street,B202218003,25794.0,Intersection,,314280337330000000,318.0
Bend,M2003-07-1,23290.0,Intersection,,129690113113 00000,
Bk Qn Cntg Hwy Approach,K2009-06-02,14519.0,Intersection,,323340397110000000,
140 Street,Q2008-12-19,34359.0,Intersection,,421520422690000000,412.0
West Houston Street,M2002-02-13,78010.0,Intersection,,131990145090000000,102.0
Monaco Place,K2010-16-01,27281.0,Intersection,,349130361430000000,316.0
East Tremont Avenue,X2007-05-03,64464.0,Intersection,,212550229620000000,205.0
249 Street,Q2010-13-24,62707.0,Intersection,,418040427225000000,413.0
East 91 Street,M2007-08-03,23656.0,Intersection,,110210118810000000,108.0
Astoria Boulevard,Q2011-03-16,50725.0,Intersection,,419290428790000000,403.0
Herkimer Street,K2003-05-8,27285.0,Intersection,,338430349130000000,316.0
Woolley Avenue,S202201162,6345.0,Intersection,,535770556370000000,501.0
Rogers Avenue,K2018-17-08,18349.0,Intersection,,313880373690000000,317.0
East 20 Street,M2002-05-2,20831.0,Intersection,,113610117390000000,105.0
East 98 Street,K2011-18-23,28823.0,Intersection,,314180338130000000,318.0
Rockwell Place,K2007-02-08,16051.0,Intersection,,342730373490000000,302.0
Richmond Hill Road,S2004-02-2,4720.0,Intersection,,518510544850000000,502.0
62 Street,K2019-07-10,12135.0,Intersection,,305280309680000000,307.0
Mt Richmond Cemetery Boundary,S2012-03-11,4840.0,Intersection,,522998544870000000,
Willow Avenue,S2009-01-29,10991.0,Intersection,,526900555468000000,501.0
Hamilton Avenue,K2009-06-02,9048534.0,Intersection,,344690346830000000,307.0
Cross Bronx Expressway,X2015-09-28,48500.0,Intersection,,215425222240 00000,
Riverside Drive,M2018-09-01,24036.0,Intersection,,111112129690000000,109.0
Nashville Boulevard,Q2002-13-22,40063.0,Intersection,,420890456660000000,413.0
Prospect Park West,K2014-06-08,18521.0,Intersection,,318950372630000000,307.0
Lincoln Road,K2010-09-04,65433.0,Intersection,,340930356130000000,309.0
West 66 Street,M2021-07-04,21714.0,Intersection,,113610135090000000,107.0
Division Avenue,K2009-01-21,19683.0,Intersection,,323230333030000000,301.0
97 Avenue,Q2017-09-05,31700.0,Intersection,,417990418940000000,409.0
East 224 Street,X2016-12-15,54305.0,Intersection,,215620228350000000,212.0
East 92 Street,K2019-18-25,28676.0,Intersection,Paving Completed,314130337880000000,318.0
Nostrand Avenue,K2017-08-01,18959.0,Intersection,,338430367030000000,308.0
Elder Avenue,X2014-10-15,47631.0,Intersection,,215920230420000000,209.0
30 Street,K2014-07-14,14076.0,Intersection,,305580308080000000,307.0
Astoria Boulevard,Q2017-03-23,81919.0,Intersection,,419040428790000000,403.0
Pearl Street,M2012-01-02,15589.0,Intersection,,113113128490000000,101.0
3 Avenue,X2010-01-06,42846.0,Intersection,,225830268020000000,201.0
Flatlands Avenue,K2013-05-04,29102.0,Intersection,,319430341030000000,305.0
East 41 Street,M2009-05-03,78835.0,Intersection,,110010117810000000,106.0
69 Street,Q2020-02-06,46368.0,Intersection,,408790414690000000,402.0
Brookhaven Avenue,Q2012-14-11,38022.0,Intersection,,430190437390000000,414.0
Whitney Avenue,Q2021-04-05,46812.0,Intersection,,450890467690000000,404.0
Merrick Boulevard,Q2011-13-48,39157.0,Intersection,,426990455590000000,413.0
Martling Avenue,S2008-01-08,8589.0,Intersection,,535915538435000000,501.0
Richmond Road,S2015-02-22,8367.0,Intersection,,518510544900000000,503.0
Stuart Street,K2007-15-03,25000.0,Intersection,,314630382830000000,318.0
Mayfair Drive,K2016-18-44,25943.0,Intersection,,337464359353000000,318.0
Newport Avenue,Q2017-14-64,30599.0,Intersection,,435130457290000000,414.0
Woodhaven Boulevard,Q2016-09-14,87897.0,Intersection,,418440468090000000,409.0
Beach Channel Drive,Q2020-14-12,33241.0,Intersection,,432490435290000000,414.0
West 129 Street,M2018-10-04,78663.0,Intersection,,110610136350000000,110.0
Rockaway Freeway,Q2002-14-9,33210.0,Intersection,,435290460820000000,414.0
Gowanus Expressway,K2003-07-3,12208.0,Intersection,,305280344690 00000,
Manhattan Avenue,K2002-01-8,19932.0,Intersection,,320130358330000000,301.0
Ft Hamilton Parkway,K2010-12-02,17877.0,Intersection,,334930342630000000,307.0
West 37 Street,K2019-13-02,12481.0,Intersection,,313430392130000000,313.0
Bay Ridge Parkway,K2009-10-07,11804.0,Intersection,,305430310330000000,310.0
Broadway,M2015-12-02,15171.0,Intersection,,113113113610000000,101.0
Cortelyou Road,K2008-14-03,18295.0,Intersection,,318630329630000000,317.0
Major Deegan Exit Nb,X2002-04-7,43684.0,Intersection,,263820297570000000,
Bend,X2016-02-16,107090.0,Intersection,,215920212550 00000,
Richmond Terrace,S2008-01-10,83807.0,Intersection,,510050545050000000,501.0
Crocheron Avenue,Q2016-07-53,56059.0,Intersection,,424390440690000000,407.0
Caton Avenue,K2008-12-04,18318.0,Intersection,,318950325130000000,307.0
Ft Hamilton Parkway,K2013-07-05,13979.0,Intersection,,309330342630000000,312.0
Metro North Railroad,X2007-03-01,47885.0,Intersection,,226910250730000000,206.0
East 9 Street,K2018-15-12,16727.0,Intersection,,305020335180000000,315.0
Borough Boundary,Q2002-13-2,62467.0,Intersection,,439024413185 00000,
Harrow Street,Q2005-06-1,50171.0,Intersection,,414490448870000000,406.0
East 85 Street,K2008-18-13,28454.0,Intersection,,314180337610000000,318.0
Hamilton Avenue,K2008-06-14,14638.0,Intersection,,344690346830000000,307.0
Tyler Avenue,Q2019-02-14,45251.0,Intersection,,455090465350000000,405.0
Co-Op City Boulevard,X2006-10-6,57936.0,Intersection,,212550221125000000,210.0
Utica Avenue,K2014-18-04,25679.0,Intersection,,314180386630000000,318.0
Cross Island Parkway,Q2017-07-33,56531.0,Intersection,,439190440990000000,407.0
Crescent Street,Q2016-02-13,22443.0,Intersection,,436490407300 00000,
East Tremont Avenue,X2007-05-03,64463.0,Intersection,,212550229620000000,205.0
Covert Street,K2008-04-02,28002.0,Intersection,,325330329930000000,304.0
Madison Avenue,M2004-05-11,21511.0,Intersection,,117770125390000000,106.0
Hollis Avenue,Q2019-12-03,39747.0,Intersection,,425940449990000000,412.0
Cooper Avenue,Q2007-05-01,30485.0,Intersection,,415440439690000000,405.0
East 165 Street,X2013-03-01,44144.0,Intersection,,273720226610 00000,
Ocean Avenue,K2010-14-10,18206.0,Intersection,,341730367530000000,314.0
Brighton Avenue,S2015-01-31,9577.0,Intersection,,518510519850000000,501.0
Mayville Street,Q2013-12-07,37641.0,Intersection,,445340455170000000,412.0
Sunset Trail,X2012-10-03,56982.0,Intersection,,240420267430000000,210.0
240 Street,Q2018-11-17,62431.0,Intersection,,407690427130000000,411.0
Lorimer Street,B202301019,22287.0,Intersection,,342430357030000000,301.0
Vyse Avenue,X2009-06-09,48407.0,Intersection,,227090272320000000,206.0
Paerdegat 5 Street,K2008-18-19,26005.0,Intersection,,337510368949000000,318.0
Division Street,M2017-03-14,15815.0,Intersection,,111610116410000000,103.0
96 Street,Q2016-04-18,49895.0,Intersection,,410790418890000000,404.0
Kings Highway,K2016-18-21,17686.0,Intersection,,318950354050000000,314.0
Franklin D Roosevelt Drive,M2008-03-07,21838.0,Intersection,,119890120490000000,103.0
Putnam Avenue,K2013-02-04,18863.0,Intersection,,352230372930000000,302.0
Field Place,X2014-05-04,48663.0,Intersection,,221820232520000000,205.0
Fingerboard Road,S2003-02-44,9043539.0,Intersection,,518510528400000000,502.0
Body Of Water,S2016-03-07,8593.0,Intersection,,518510547823000000,502.0
Astoria Boulevard,Q2005-01-20,46340.0,Intersection,,410640428790000000,401.0
100 Street,Q2011-03-18,50732.0,Intersection,,407240419290000000,403.0
Metropolitan Avenue,Q2017-05-02,29934.0,Intersection,,412590455690000000,405.0
Sherman Avenue,X202304007,43956.0,Intersection,Ready for Milling,226580264720000000,204.0
West 138 Street,M202510001,78142.0,Intersection,Ready for Milling,110610136530000000,110.0
I 678,Q2005-12-16,34888.0,Intersection,,428890466290000000,409.0
Washington Avenue,K2004-08-7,87421.0,Intersection,,313430389730000000,308.0
Bend,X2019-03-01,48187.0,Intersection,,222420212550 00000,
Soundview Avenue,X2017-09-10,51947.0,Intersection,,215920265120000000,209.0
Astoria Boulevard,Q2005-01-20,41942.0,Intersection,,409640428790000000,401.0
Remsen Avenue,K2007-18-08,28739.0,Intersection,,314230373210000000,318.0
Fulton Street,K2016-16-19,80839.0,Intersection,,338430342730000000,316.0
59 Street,K2017-07-21,12148.0,Intersection,,305130309530000000,307.0
Sand Lane,S2017-02-47,83777.0,Intersection,,518510546100000000,502.0
Rogers Avenue,K2014-09-01,18933.0,Intersection,,354930373690000000,309.0
Park Avenue,K2015-02-13,71738.0,Intersection,,363985369230000000,302.0
Shakespeare Avenue,X2007-04-16,43898.0,Intersection,,225420264520000000,204.0
Malcolm X Boulevard,K2008-03-10,27541.0,Intersection,,355730373190000000,303.0
Shore Road,Q2018-11-17,60558.0,Intersection,,435780462095000000,407.0
Yacht Club Cove,S2015-01-22,4495.0,Intersection,,534100556472000000,503.0
Myrtle Avenue,K2007-02-05,90189.0,Intersection,,340830363030000000,302.0
Albert Road,Q2011-10-07,31820.0,Intersection,,423170427590000000,410.0
West Broadway,M2012-01-06,20056.0,Intersection,,129390144890000000,101.0
Peck Avenue,Q2006-11-22,59424.0,Intersection,,425540458690000000,411.0
Myrtle Avenue,Q2016-05-16,32286.0,Intersection,,450686456490000000,
New Haven Avenue,Q2017-14-22,38069.0,Intersection,,448090457090000000,414.0
York Avenue,M2014-08-05,23076.0,Intersection,,118430145590000000,108.0
Queens Boulevard,Q2007-02-01,83638.0,Intersection,,414690459990000000,402.0
St Patrick'S Place,S2009-02-42,4847.0,Intersection,,543405549405000000,
50 Street,K2018-12-09,13655.0,Intersection,,306580309080000000,312.0
Ocean Parkway,K2017-15-44,87596.0,Intersection,,314830367730000000,313.0
East 9 Street,M2004-03-3,20976.0,Intersection,,112110117170000000,103.0
47 Avenue,Q2002-02-3,40828.0,Intersection,,408390410440000000,402.0
Long Island Expressway,Q2017-11-19,61919.0,Intersection,,443020450290000000,411.0
Spencer Street,K2007-03-11,19652.0,Intersection,,363030379730000000,303.0
I 678,Q2020-12-35,35055.0,Intersection,,419990466290000000,410.0
Woodhaven Boulevard,Q2014-09-01,87783.0,Intersection,,419090468090000000,482.0
Bend,S2005-02-31,65445.0,Intersection,,541320518510 00000,
Sedgwick Avenue,X2004-07-20,9043969.0,Intersection,,212550263820000000,205.0
Ascan Avenue,Q2013-06-02,50491.0,Intersection,,415190428490000000,406.0
Village Road,Q2016-08-16,55021.0,Intersection,,454580466590000000,
Park Drive East,Q2011-08-09,54792.0,Intersection,,435780458450000000,408.0
West 156 Street,M202412018,104274.0,Intersection,Ready for Milling,129690136890000000,112.0
43 Avenue,Q2010-02-10,41515.0,Intersection,,408640409840000000,402.0
Long Island Expressway,Q2021-11-20,62240.0,Intersection,,427230450290000000,411.0
Fdr Drive Entrance Nb,M2018-08-14,23788.0,Intersection,,145590197280000000,
Ocean View Avenue,K2010-13-06,16839.0,Intersection,,322530367830000000,313.0
Sackett Street,K2021-06-13,79970.0,Intersection,Paving Completed,305430374630000000,306.0
Palisade Avenue,X2015-08-04,44827.0,Intersection,,212550256720000000,208.0
Sayres Avenue,Q2014-12-57,37562.0,Intersection,,424990461530000000,412.0
Richmond Avenue,S2016-01-74,3912.0,Intersection,,539000544750000000,502.0
142 Street,Q2017-12-55,67225.0,Intersection,,420240422810000000,412.0
Broadway,M2012-05-03,20849.0,Intersection,,113113113610000000,101.0
Van Cortlandt Avenue East,X202307001,49086.0,Intersection,,252620271220000000,207.0
Cypress Avenue,K2011-04-03,72807.0,Intersection,,331230441290 00000,
East Fordham Road,X2014-05-10,48828.0,Intersection,,212550229220000000,205.0
Park Avenue,M2014-08-02,78826.0,Intersection,,118470127790000000,108.0
West 145 Street,M202409007,24327.0,Intersection,,113610136670000000,109.0
Interborough Yard,K2019-05-02,29573.0,Intersection,,327130352040000000,
East 70 Street,B202218028,25927.0,Intersection,,314280337474000000,318.0
Melrose Street,K2012-04-02,65839.0,Intersection,,318950360130000000,304.0
Northern Boulevard,Q2008-11-09,59302.0,Intersection,,425540457790000000,411.0
East Fordham Road,X2017-06-01,49032.0,Intersection,,217520229220000000,206.0
Bend,Q2016-08-11,65603.0,Intersection,,417390435780000000,408.0
Broadway,M2004-12-10,20724.0,Intersection,,113113113610000000,101.0
East 19 Street,M2015-04-05,20747.0,Intersection,,110410117370000000,105.0
Bend,S2019-03-15,5106.0,Intersection,,515650518510000000,503.0
Terrace View Avenue,X2015-08-30,44730.0,Intersection,,111410132290000000,208.0
Todt Hill Road,S2004-02-51,84038.0,Intersection,,518510551470000000,502.0
Springfield Boulevard,Q2011-13-57,61257.0,Intersection,,461510463290000000,413.0
West 20 Street,M2020-05-08,20656.0,Intersection,,110510134170000000,104.0
Harding Avenue,X2016-10-52,56911.0,Intersection,,214690238120000000,210.0
Union Avenue,X2009-01-01,47218.0,Intersection,,226310270420000000,201.0
Ralph Avenue,K2005-17-5,26426.0,Intersection,,337730373110000000,317.0
Hillside Avenue,Q2019-09-18,34597.0,Intersection,,421640449690000000,409.0
Grand Concourse,X2018-04-09,89357.0,Intersection,,226820236420000000,204.0
Hempstead Avenue,Q2010-13-20,40449.0,Intersection,,427050449190000000,413.0
East 125 Street,M2019-11-09,42540.0,Intersection,,110110119450000000,111.0
Glenmore Avenue,K2014-05-38,31338.0,Intersection,,338730344330000000,305.0
Long Island Expressway,Q2007-02-06,45439.0,Intersection,,412040450290000000,405.0
253 Street,Q2015-13-43,86072.0,Intersection,,417690427250000000,413.0
Schenectady Avenue,K2014-09-02,26795.0,Intersection,,339430375430000000,309.0
Madison Avenue,M2019-08-06,23483.0,Intersection,,118550125390000000,108.0
Yellowstone Boulevard,Q2014-06-01,50095.0,Intersection,,437990468690000000,406.0
Groton Street,Q2004-06-1,50257.0,Intersection,,414890448260000000,406.0
Avenue T,K2016-18-29,25776.0,Intersection,,314530314580000000,318.0
Parsons Boulevard,Q2010-08-14,35234.0,Intersection,,417590458590000000,408.0
Harlem River Drive,M2007-10-05,78537.0,Intersection,,113113122450000000,111.0
Body Of Water,S2018-03-46,107928.0,Intersection,,518510547823000000,502.0
122 Street,Q202307001,51791.0,Intersection,,405490421490000000,407.0
Whitestone Expressway,Q2005-07-20,56296.0,Intersection,,422890467656000000,407.0
Richmond Avenue,S2016-03-07,6052.0,Intersection,,518510544750000000,503.0
Parsons Boulevard,Q2011-08-12,55126.0,Intersection,,415390458590000000,408.0
Joralemon Street,B202402003,15540.0,Intersection,Ready for Milling,342850353830000000,302.0
160 Avenue,Q2006-10-16,33515.0,Intersection,,419190423990000000,410.0
Village Road North,B202415012,16446.0,Intersection,Ready for Milling,354230388515000000,315.0
Lansing Street,S2002-02-38,10041.0,Intersection,,518510535720000000,502.0
Lafayette Avenue,S2019-01-15,9509.0,Intersection,,518510535450000000,501.0
Gowanus Expressway,K2018-07-14,13880.0,Intersection,,305280344690 00000,
Gowanus Expressway,K2003-07-3,13945.0,Intersection,,305280344690 00000,
Manhattan College Parkway,X2016-08-01,67183.0,Intersection,,212550248720000000,208.0
Quentin Road,K2007-15-08,17790.0,Intersection,,367030373030000000,315.0
Flatlands Avenue,K2016-18-10,25401.0,Intersection,,336430341030000000,318.0
Randall Avenue,X2018-09-10,52224.0,Intersection,,255720260520000000,209.0
East 5 Street,K2007-12-06,17320.0,Intersection,,332600335030000000,314.0
East 10 Street,M2017-02-02,20727.0,Intersection,,110350117190000000,103.0
East Drive,M2003-08-2,68769.0,Intersection,,113113198020000000,164.0
Nostrand Avenue,B202417010,18436.0,Intersection,Ready for Milling,326230367030000000,317.0
Long Island Expressway,Q2015-08-31,55146.0,Intersection,,423840450290000000,408.0
Queens Boulevard,Q2018-02-02,41447.0,Intersection,,465810459990 00000,
Porter Avenue,K2018-01-66,27681.0,Intersection,,341330371830000000,304.0
60 Lane,Q2003-05-1,45105.0,Intersection,,412140412540000000,
Bend,M2011-01-09,15588.0,Intersection,,128490113113 00000,
Grand Concourse,X2014-04-03,89334.0,Intersection,,226730236420000000,204.0
East 3 Street,K2017-12-16,17861.0,Intersection,,313830334930000000,312.0
West 242 Street,X2016-08-02,9034584.0,Intersection,,248720275125000000,208.0
Elton Avenue,X2006-01-14,43185.0,Intersection,,226340231120000000,201.0
Long Island Expressway,Q2016-11-33,61828.0,Intersection,,439260450290000000,411.0
Cooper Avenue,Q2013-05-10,30297.0,Intersection,,435780439690000000,405.0
West 162 Street,M2019-12-15,78196.0,Intersection,,113610137010000000,112.0
Hillside Avenue,Q2007-13-45,62610.0,Intersection,,440990449690 00000,
East 175 Street,X2007-03-01,47961.0,Intersection,,222240226910000000,
Bend,S2014-02-51,8965.0,Intersection,,541320518510 00000,
Flushing Avenue,Q2008-05-33,90239.0,Intersection,,411590445190000000,405.0
William Street,M2011-01-16,15245.0,Intersection,,128870145440000000,101.0
Nurge Avenue,Q2016-05-40,41188.0,Intersection,,411790457890000000,405.0
Corporal Kennedy Street,Q2015-11-04,60317.0,Intersection,,407590440190000000,411.0
Cronston Avenue,Q2017-14-62,30651.0,Intersection,,435105440870000000,414.0
Ft Hamilton Parkway,K2010-12-05,14185.0,Intersection,,308480342630000000,312.0
Foster Avenue,K2011-18-21,26390.0,Intersection,,337380341730000000,318.0
Powers Street,K2014-01-13,19798.0,Intersection,,350630372130000000,301.0
135 Avenue,Q2018-10-03,33989.0,Intersection,,421640422190000000,410.0
Bend,K2012-18-19,31093.0,Intersection,,376950318950 00000,
Riverside Drive,M2008-12-02,24365.0,Intersection,,113113129690000000,107.0
44 Street,K2013-07-10,13997.0,Intersection,,305780308780000000,307.0
60 Street,K2015-12-04,17212.0,Intersection,,307430309580000000,312.0
58 Street,Q2015-02-40,41246.0,Intersection,,453090412190 00000,
Nagle Avenue,M2016-12-09,9047163.0,Intersection,,116910127090000000,112.0
East 130 Street,M2018-10-03,42447.0,Intersection,,110410119550000000,110.0
Bend,X2010-06-01,67112.0,Intersection,,211420212550000000,206.0
86 Street,Q2017-05-12,45987.0,Intersection,,412190417540000000,405.0
Grand Avenue,Q2006-04-5,46001.0,Intersection,,437290447290000000,404.0
Rockaway Beach Boulevard,Q2012-14-61,9041449.0,Intersection,,434740460790000000,414.0
East 9 Street,K2008-12-05,17413.0,Intersection,,314230335180000000,312.0
Bay Parkway,K2019-11-13,12789.0,Intersection,,315780317330000000,311.0
Rockland Avenue,S2007-02-34,5252.0,Intersection,,518510545224000000,502.0
87 Street,Q2004-03-2,46782.0,Intersection,,407990417740000000,403.0
Grand Central Parkway,Q2005-08-30,58453.0,Intersection,,424490447390000000,408.0
Grand Central Parkway,Q2011-08-14,58761.0,Intersection,,429035447390000000,408.0
South 4 Street,K2009-01-02,19517.0,Intersection,,319530378430000000,301.0
Woodbine Street,Q2012-05-03,30197.0,Intersection,,465173467990000000,405.0
Bend,S2014-02-09,4354.0,Intersection,,515650518510000000,503.0
Shore Boulevard,K2010-15-03,24863.0,Intersection,,368850376930000000,315.0
Utopia Parkway,Q2008-07-01,60157.0,Intersection,,440990465690000000,407.0
Hylan Boulevard,S2010-02-67,67976.0,Intersection,,528400534100000000,502.0
Malta Street,K2014-05-02,28854.0,Intersection,,356230358230000000,305.0
Maurice Avenue,Q2010-02-18,45139.0,Intersection,,411240455090000000,405.0
Myrtle Avenue,Q2007-05-14,30299.0,Intersection,,413870456490000000,405.0
61 Avenue,Q202311016,62223.0,Intersection,Ready for Milling,411890412700000000,411.0
Irving Place,B202202026,18862.0,Intersection,,343330352230000000,302.0
South Lake Drive,K2005-09-9,18181.0,Intersection,,367530379250000000,
Todt Hill Road,S2013-02-A4,66763.0,Intersection,,518510551470000000,502.0
Broadway,Q2008-01-03,41727.0,Intersection,,409090437290000000,401.0
97 Avenue,Q2007-09-03,31617.0,Intersection,,417740418940000000,409.0
Long Island Expressway,Q2007-02-06,45440.0,Intersection,,414590450290000000,405.0
Rockaway Parkway,K2011-18-02,28762.0,Intersection,,314080373480000000,318.0
Bend,Q2011-03-30,46554.0,Intersection,,416140435780000000,409.0
Atlantic Avenue,K2018-05-19,80037.0,Intersection,,313130313430000000,305.0
233 Street,Q2020-13-41,39454.0,Intersection,,421870427100000000,413.0
Seagirt Boulevard,Q2010-14-02,38014.0,Intersection,,430190461690000000,414.0
91 Avenue,Q2020-09-09,31553.0,Intersection,,417140418290 00000,
Ocean Avenue,K2016-15-22,17015.0,Intersection,,314530367530000000,315.0
City Limit,X2003-12-5,9045594.0,Intersection,,253020219530000000,
Bend,M2010-12-21,24361.0,Intersection,,129690113113 00000,
Park Avenue,K2015-02-31,16087.0,Intersection,,363985369230000000,302.0
107 Street,Q2007-09-04,32113.0,Intersection,,419340420090000000,409.0
198 Street,Q2010-08-11,58959.0,Intersection,,415390425840000000,408.0
St James Avenue,Q2019-04-22,46030.0,Intersection,,418240463590000000,404.0
Forest Avenue,S2010-01-50,6487.0,Intersection,,518510529150000000,501.0
Tompkins Avenue,S2018-01-23,10787.0,Intersection,,540850551500000000,501.0
Bedford Park Bl West,X2004-07-6,48934.0,Intersection,,212220212225000000,207.0
East 2 Street,K2016-12-25,17857.0,Intersection,,329630334880000000,312.0
Cross Bronx Expressway,X2015-09-01,94053.0,Intersection,,218520222240000000,209.0
Pierce Avenue,X2016-11-29,52784.0,Intersection,,213320258320000000,211.0
National Street,Q2002-03-26,50879.0,Intersection,,419690456690000000,404.0
51 Street,K2020-12-06,14041.0,Intersection,Paving Completed,306080309130000000,312.0
Bend,S2012-03-22,5001.0,Intersection,,515650518510000000,503.0
Fr Capodanno Boulevard,S2015-02-38,9966.0,Intersection,,544455546850000000,
Mayville Street,Q202212132,37702.0,Intersection,,449520455170000000,412.0
Seton Place,K2005-14-7,17317.0,Intersection,,369730376245000000,314.0
Riverside Drive,M2021-07-03,21748.0,Intersection,,113113129690000000,107.0
Belt Parkway,Q2005-10-11,31928.0,Intersection,,440890463020000000,410.0
Bk Bridge Entrance Ramp,K2004-02-2,15868.0,Intersection,,372735397010000000,
West 173 Street,M2016-12-25,43371.0,Intersection,,122590137230000000,112.0
46 Street,Q2016-01-05,46252.0,Intersection,,406940410390000000,401.0
Cypress Avenue,Q2008-05-26,27968.0,Intersection,,331230441290 00000,
